file_name,temp,variability,sample_day,replicate,cell_density,start_time
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-1_summary,0,c,1,1,728,2017-06-23  15:07:07
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-2_summary,0,c,1,2,1240,2017-06-23  15:08:40
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-3_summary,0,c,1,3,831,2017-06-23  15:10:17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-4_summary,0,c,1,4,742,2017-06-23  15:11:47
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-5_summary,0,c,1,5,905,2017-06-23  15:13:30
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-1_summary,0,c,2,1,785,2017-06-23  15:14:54
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-2_summary,0,c,2,2,508,2017-06-23  15:16:53
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-3_summary,0,c,2,3,1056,2017-06-23  15:18:21
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-4_summary,0,c,2,4,1081,2017-06-23  15:19:50
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-5_summary,0,c,2,5,821,2017-06-23  15:21:17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-1_summary,0,c,3,1,723,2017-06-23  14:49:59
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-2_summary,0,c,3,2,730,2017-06-23  14:51:39
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-3_summary,o,c,3,3,1192,2017-06-23  14:53:07
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-4_summary,0,c,3,4,952,2017-06-23  14:54:56
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-5_summary,0,c,3,5,999,2017-06-23  14:56:48
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-1_summary,0,c,4,1,871,2017-06-23  14:58:23
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-2_summary,0,c,4,2,654,2017-06-23  14:59:49
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-3_summary,0,c,4,3,1382,2017-06-23  15:02:35
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-4_summary,0,c,4,4,926,2017-06-23  15:03:59
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-5_summary,0,c,4,5,880,2017-06-23  15:05:24
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-1_summary,32,c,1,1,613,2017-06-23  15:24:00
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-2_summary,32,c,1,2,1180,2017-06-23  15:25:27
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-3_summary,32,c,1,3,1017,2017-06-23  15:26:54
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-4_summary,32,c,1,4,703,2017-06-23  15:28:45
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-5_summary,32,c,1,5,704,2017-06-23  15:30:08
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-2-1_summary,32,c,2,1,806,2017-06-23  15:31:39
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-2-2_summary,32,c,2,2,647,2017-06-23  15:33:01
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-2-3_summary,32,c,2,3,562,2017-06-23  15:34:26
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-2-4_summary,32,c,2,4,970,2017-06-23  15:36:07
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-2-5_summary,32,c,2,5,276,2017-06-23  15:37:28
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-3-1_summary,32,c,3,1,1201,2017-06-23  15:38:56
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-3-2_summary,32,c,3,2,1041,2017-06-23  15:40:23
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-3-3_summary,32,c,3,3,692,2017-06-23  15:41:55
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-3-4_summary,32,c,3,4,949,2017-06-23  15:43:30
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-3-5_summary,32,c,3,5,1128,2017-06-23  15:44:58
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-4-1_summary,32,c,4,1,478,2017-06-23  15:46:25
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-4-2_summary,32,c,4,2,529,2017-06-23  15:47:48
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-4-3_summary,32,c,4,3,839,2017-06-23  15:49:15
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-4-4_summary,32,c,4,4,562,2017-06-23  15:50:38
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-4-5_summary,32,c,4,5,683,2017-06-23  15:52:03
Tetraselmis_experiment/data-raw/flowcam-summaries-jun24/32c-1-1_summary,32,c,1,1,970,2017-06-24  15:43:14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun24/32c-2-1_summary,32,c,2,1,994,2017-06-24  15:44:59
Tetraselmis_experiment/data-raw/flowcam-summaries-jun24/32c-3-1_summary,32,c,3,1,1310,2017-06-24  15:46:46
Tetraselmis_experiment/data-raw/flowcam-summaries-jun24/32c-4-1_summary,32,c,4,1,199,2017-06-24  15:48:34
Tetraselmis_experiment/data-raw/flowcam-summaries-jun26/32c-2-1_summary,32,c,2,1,763,2017-06-26  10:30:43
Tetraselmis_experiment/data-raw/flowcam-summaries-jun26/32c-2-2_summary,32,c,2,2,420,2017-06-26  10:32:19
Tetraselmis_experiment/data-raw/flowcam-summaries-jun26/32c-2-3_summary,32,c,2,3,1078,2017-06-26  10:33:56
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/0c-1-1_summary,0,c,1,1,601,2017-06-28  17:35:03
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/0c-2-1_summary,0,c,2,1,764,2017-06-28  17:37:35
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/0c-3-1_summary,0,c,3,1,1058,2017-06-28  17:40:17
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/0c-4-1_summary,0,c,4,1,858,2017-06-28  17:42:26
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/32c-1-3_summary,32,c,1,3,563,2017-06-28 17:21
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/32c-2-3_summary,32,c,2,3,551,2017-06-28  17:25:25
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/32c-3-3_summary,32,c,3,3,434,2017-06-28  17:27:38
Tetraselmis_experiment/data-raw/flowcam-summaries-jun28/32c-4-3_summary,32,c,4,3,394,2017-06-28  17:29:53
