treatment,lower,upper,mean,median,param
constant,24.52062798493095,24.876754543863754,24.693628982606473,24.691614591629275,topt
variable,21.483017076397704,22.434443160924506,21.923977217966733,21.913085449723198,topt
constant,-15.225072488351143,-4.774768882133198,-8.839420093665913,-8.369929735255043,tmin
variable,-16.07843221748084,-2.405121870349099,-6.7352838738615475,-5.955801981236489,tmin
constant,32.12793955974144,32.64269569233968,32.393092445097174,32.39648058069039,tmax
variable,29.23817394948298,31.973568157305344,30.31371259200861,30.22010275685441,tmax
variable,21.801309284093794,22.09739390874306,21.951999980949854,21.953375266066438,predicted_topt
variable,-17.2999534272236,-6.373402821315535,-10.662397924191596,-10.20303319650537,predicted_tmin
variable,29.2596010222958,29.940673265988508,29.599840951215903,29.60578505676599,predicted_tmax
constant,1.524627345882891,1.5633234456719187,1.541964058809924,1.5416102503450004,rmax
variable,1.14590283777777,1.248276875168424,1.1956777826119707,1.1953933428695607,rmax
variable,1.2640965083513034,1.2902183036576786,1.2764999933609045,1.2766060383343145,predicted_rmax
constant,37.305899936256644,47.41263997842077,41.23251253876309,40.77377114558277,width
variable,33.574015780539746,45.515689945697844,37.04899646587016,36.20436360731915,width
