"x","q2.5","q97.5","mean"
0,0.00104488,0.0028807,0.00187667
1,0.00233002,0.00397828,0.00310235
2,0.00379801,0.00522766,0.00447384
3,0.00543325,0.00662446,0.00600032
4,0.00716908,0.0082693,0.0076906
5,0.00900379,0.0102027,0.0095529
6,0.0110198,0.0122744,0.0115945
7,0.0130997,0.0145687,0.0138215
8,0.0153136,0.017041,0.0162383
9,0.0177378,0.0197264,0.0188472
10,0.0204307,0.0226283,0.0216475
11,0.0233269,0.0257437,0.0246355
12,0.0264201,0.0290505,0.0278027
13,0.0296628,0.0325136,0.0311358
14,0.0330601,0.0360978,0.0346148
15,0.0365845,0.0397325,0.0382121
16,0.04025,0.0434578,0.0418908
17,0.0439718,0.0472056,0.0456031
18,0.0477348,0.0509001,0.0492877
19,0.0514079,0.0544654,0.052868
20,0.054783,0.057802,0.0562489
21,0.0578573,0.060927,0.0593137
22,0.0603909,0.0635305,0.0619203
23,0.0621735,0.0654033,0.0638969
24,0.0630418,0.0664087,0.0650371
25,0.0628267,0.0663674,0.0650941
26,0.0612896,0.0652041,0.0637746
27,0.05811,0.0623341,0.0607304
28,0.052931,0.0572824,0.055551
29,0.0453263,0.0494445,0.0477528
30,0.0348003,0.0383245,0.0367684
31,0.0205552,0.0232316,0.0219338
32,0.00165856,0.00312663,0.00247349
