replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
1,385,0.22766799535679094,0.13320363877563635,37.164919363488046,12.851279612355073,2185.6771060508177,TRUE,1.4901161193847656e-8,-517.1176688246055,1044.235337649211,1054.4505939883838,253190773.83147788,53
2,130,1.0364719643348694,0.04569882887645779,27.327978586169294,19.153049808273167,3762.5996022687764,TRUE,1.4901161193847656e-8,-548.0791815166378,1106.1583630332757,1116.3736193724485,750329255.6506371,53
3,525,0.25857718286956644,0.12282904030906396,32.66494044749342,15.058828834635538,2118.6733866831282,TRUE,1.4901161193847656e-8,-515.3429432110692,1040.6858864221383,1050.9011427613111,237905176.73028585,53
4,1149,0.13965542030239284,0.14861679214401258,34.593564811650495,14.178472418347598,2791.805098483175,TRUE,1.4901161193847656e-8,-531.0691430914068,1072.1382861828135,1082.3535425219864,413091312.51958245,53
5,308,0.22014706780982338,0.13641161902255147,39.48223223792161,11.696906999258962,1939.0414398412513,TRUE,1.4901161193847656e-8,-510.29294932171024,1030.5858986434205,1040.8011549825933,199273730.38734657,53
6,454,0.20310944409813722,0.14061489540526656,45,8.894383842654449,2185.583416353008,TRUE,1.4901161193847656e-8,-517.1152254503208,1044.2304509006417,1054.4457072398145,253169068.10137615,53
7,898,0.19483830517496276,0.14170920477137666,42.78890954303435,10.090162147450137,2029.0320543868384,TRUE,1.4901161193847656e-8,-512.8787606514537,1035.7575213029074,1045.9727776420802,218199467.1196515,53
8,645,0.2654661095473046,0.12217511973990555,34.52625140698778,14.096920061704571,2156.6910171362433,TRUE,1.4901161193847656e-8,-516.3566870001209,1042.7133740002419,1052.9286303394147,246519755.5999967,53
9,1005,0.22561208396630986,0.13239822807755794,35.65498808824185,13.61055673170988,1947.2447238564066,TRUE,1.4901161193847656e-8,-510.53358414047034,1031.0671682809407,1041.2824246201135,200963386.7730905,53
10,1154,0.20566437350292585,0.13959805250957136,43.15915633669486,9.82670721334052,2099.006250974796,TRUE,1.4901161193847656e-8,-514.8113547752897,1039.6227095505794,1049.8379658897522,233508843.80645725,53
