temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep,days,time_point,sample_group,cycle,temp_range
5,v,3,3,966,2.3925,yes,0.0996875,2,1,1,cold
5,v,3,4,753,2.418888889,yes,0.10078703704166668,2,1,1,cold
5,v,4,1,1288,2.451111111,yes,0.102129629625,2,1,1,cold
5,v,4,2,698,2.478055556,yes,0.10325231483333334,2,1,1,cold
5,v,4,3,1667,2.505833333,yes,0.10440972220833333,2,1,1,cold
5,v,4,4,322,2.533055556,yes,0.1055439815,2,1,1,cold
5,v,5,1,699,2.580833333,yes,0.10753472220833334,2,1,1,cold
5,v,5,2,861,2.604444444,yes,0.1085185185,2,1,1,cold
5,v,5,3,592,2.626111111,yes,0.10942129629166668,2,1,1,cold
5,v,5,4,972,2.649722222,yes,0.11040509258333332,2,1,1,cold
5,v,1,1,915,4.993333333,yes,0.20805555554166666,4,1,1,cold
5,v,1,2,909,5.020277778,yes,0.20917824075,5,1,1,cold
5,v,1,3,300,5.048333333,yes,0.21034722220833335,5,1,1,cold
5,v,1,4,295,5.075555556,yes,0.2114814815,5,1,1,cold
5,v,2,1,978,5.103055556,yes,0.21262731483333333,5,1,1,cold
5,v,2,2,314,5.126388889,yes,0.21359953704166668,5,1,1,cold
5,v,2,3,973,5.150555556,yes,0.21460648149999997,5,1,1,cold
5,v,2,4,839,5.178055556,yes,0.21575231483333335,5,1,1,cold
5,v,3,1,717,5.204722222,yes,0.21686342591666666,5,1,1,cold
5,v,3,2,411,5.231111111,yes,0.2179629629583333,5,1,1,cold
5,v,1,1,243,27.04388889,yes,1.12682870375,27,2,2,cold
5,v,1,2,538,27.07083333,yes,1.12795138875,27,2,2,cold
5,v,1,3,386,27.09916667,yes,1.1291319445833332,27,2,2,cold
5,v,1,4,199,27.12777778,yes,1.1303240741666667,27,2,2,cold
5,v,1,1,910,50.93222222,yes,2.1221759258333335,50,3,3,cold
5,v,1,2,394,50.95944444,yes,2.123310185,50,3,3,cold
5,v,1,3,632,50.99333333,yes,2.1247222220833333,50,3,3,cold
5,v,1,4,850,51.02722222,yes,2.1261342591666668,51,3,3,cold
5,v,2,1,1099,75.1225,yes,3.130104166666667,75,4,4,cold
5,v,2,4,1489,75.15916667,yes,3.1316319445833334,75,4,4,cold
5,v,2,3,1097,75.19611111,yes,3.13317129625,75,4,4,cold
5,v,2,2,1460,75.22722222,yes,3.1344675925,75,4,4,cold
5,v,2,1,2701,99.30444444,yes,4.137685185,99,5,5,cold
5,v,2,2,1111,99.33972222,yes,4.1391550925,99,5,5,cold
5,v,2,3,1072,99.37361111,yes,4.140567129583333,99,5,5,cold
