temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep
10,v,1,1,1291,2.9755555555555557,yes
10,v,1,2,604,2.9991666666666665,yes
10,v,1,3,861,3.018611111111111,yes
10,v,1,4,966,3.0405555555555557,yes
10,v,2,1,791,3.062222222222222,yes
10,v,2,2,586,3.0830555555555557,yes
10,v,2,4,358,3.1605555555555553,yes
10,v,3,1,967,3.1794444444444445,yes
10,v,3,2,861,3.1977777777777776,yes
10,v,3,3,711,3.551388888888889,yes
10,v,3,4,847,4.155833333333334,yes
10,v,4,1,729,3.9425,yes
10,v,4,2,916,3.8847222222222224,yes
10,v,4,3,1539,3.914722222222222,yes
10,v,4,4,1751,3.995,yes
10,v,5,1,626,4.018611111111111,yes
10,v,5,2,1018,4.09,yes
10,v,5,3,535,4.112222222222222,yes
10,v,5,4,729,4.134722222222222,yes
20,v,1,1,820,6.093055555555556,yes
20,v,1,2,404,6.123611111111111,yes
20,v,1,3,308,6.149444444444445,yes
20,v,2,1,707,6.208611111111111,yes
20,v,2,2,980,6.235833333333333,yes
20,v,2,3,104,6.263055555555556,yes
20,v,2,4,195,6.288888888888889,yes
20,v,3,1,299,6.315277777777778,yes
20,v,3,2,606,6.3425,yes
20,v,3,3,292,5.258055555555556,yes
20,v,3,4,588,5.285833333333334,yes
20,v,4,1,588,5.312777777777778,yes
20,v,4,2,801,5.339722222222222,yes
20,v,4,3,389,5.365555555555556,yes
20,v,4,4,501,5.395277777777777,yes
20,v,5,1,681,5.421944444444445,yes
20,v,5,2,596,5.449166666666667,yes
20,v,5,3,482,5.476111111111111,yes
20,v,5,4,568,5.504444444444444,yes
27,v,1,2,807,2.057777777777778,yes
27,v,1,3,485,2.0855555555555556,yes
27,v,2,1,1455,2.1933333333333334,yes
27,v,2,2,861,2.2258333333333336,yes
27,v,2,3,913,2.2641666666666667,yes
27,v,2,4,698,2.2913888888888887,yes
27,v,3,3,523,5.5313888888888885,yes
27,v,3,4,814,5.561111111111111,yes
27,v,4,1,353,5.587777777777778,yes
27,v,4,2,575,5.614166666666667,yes
27,v,4,3,505,5.643888888888889,yes
27,v,4,4,480,5.670555555555556,yes
27,v,5,1,1232,5.701666666666667,yes
27,v,5,2,600,5.739722222222222,yes
27,v,5,3,294,5.767222222222222,yes
27,v,5,4,50,5.7941666666666665,yes
5,v,1,1,915,4.993333333333333,yes
5,v,1,2,909,5.020277777777777,yes
5,v,1,3,300,5.048333333333333,yes
5,v,1,4,295,5.075555555555556,yes
5,v,2,1,978,5.103055555555556,yes
5,v,2,2,314,5.126388888888889,yes
5,v,2,3,973,5.150555555555556,yes
5,v,2,4,839,5.178055555555556,yes
5,v,3,1,717,5.204722222222222,yes
5,v,3,2,411,5.231111111111111,yes
5,v,3,3,966,2.3925,yes
5,v,4,1,1288,2.451111111111111,yes
5,v,4,2,698,2.4780555555555557,yes
5,v,4,3,1667,2.5058333333333334,yes
5,v,4,4,322,2.5330555555555554,yes
5,v,5,1,699,2.5808333333333335,yes
5,v,5,2,861,2.6044444444444443,yes
5,v,5,3,592,2.6261111111111113,yes
5,v,5,4,972,2.649722222222222,yes
10,v,2,3,676,3.111388888888889,yes
20,v,1,4,148,6.176388888888889,yes
27,v,1,1,465,1.961111111111111,yes
27,v,1,4,541,2.1527777777777777,yes
27,v,3,1,1288,2.3227777777777776,yes
27,v,3,2,753,2.355,yes
5,v,3,4,753,2.418888888888889,yes
20,v,1,2,1040,25.86722222222222,yes
20,v,1,4,796,25.949444444444445,yes
27,v,1,3,1153,25.38111111111111,yes
5,v,1,1,243,27.04388888888889,yes
5,v,1,2,538,27.070833333333333,yes
5,v,1,3,386,27.099166666666665,yes
10,v,1,1,575,26.560277777777777,yes
10,v,1,2,237,26.601111111111113,yes
10,v,1,3,808,26.63722222222222,yes
10,v,1,4,465,26.670833333333334,yes
20,v,1,1,1119,25.7975,yes
20,v,1,3,934,25.90388888888889,yes
27,v,1,1,1385,25.309166666666666,yes
27,v,1,2,937,25.34611111111111,yes
27,v,1,4,937,25.41,yes
5,v,1,4,199,27.127777777777776,yes
27,v,1,1,3303,52.99861111111111,yes
27,v,1,2,3936,53.028333333333336,yes
27,v,1,3,1485,53.065555555555555,yes
27,v,1,4,2314,53.1025,yes
10,v,1,3,1678,50.60944444444444,yes
10,v,1,4,2070,50.6375,yes
20,v,1,1,17265,50.263333333333335,yes
20,v,1,2,16951,50.29416666666667,yes
20,v,1,3,16457,50.32694444444444,yes
20,v,1,4,14257,50.35666666666667,yes
5,v,1,1,910,50.93222222222222,yes
5,v,1,3,632,50.99333333333333,yes
10,v,1,1,1491,50.52388888888889,yes
10,v,1,2,1659,50.56361111111111,yes
27,v,1,1,8821,45.13861111111111,yes
27,v,1,2,8170,45.17722222222222,yes
27,v,1,3,6966,45.21333333333333,yes
27,v,1,4,3469,45.25222222222222,yes
5,v,1,2,394,50.95944444444444,yes
5,v,1,4,850,51.02722222222222,yes
10,v,2,3,12654,75.70333333333333,yes
5,v,2,3,1097,75.19611111111111,yes
10,v,2,1,3030,75.62611111111111,yes
10,v,2,2,9518,75.66277777777778,yes
10,v,2,4,9766,75.73611111111111,yes
5,v,2,1,1099,75.1225,yes
5,v,2,2,1460,75.22722222222222,yes
5,v,2,4,1489,75.15916666666666,yes
10,v,3,2,13536,99.5188888888889,yes
10,v,3,3,15037,99.54972222222223,yes
10,v,3,4,16327,99.58027777777778,yes
5,v,2,3,1072,99.37361111111112,yes
10,v,3,1,16951,99.47972222222222,yes
5,v,2,1,2701,99.30444444444444,yes
5,v,2,2,1111,99.33972222222222,yes
5,v,2,4,3905,99.4036111111111,yes
5,v,3,1,5603,125.95333333333333,yes
5,v,3,2,646,125.99138888888889,yes
5,v,3,3,1501,126.02694444444444,yes
5,v,3,4,1606,126.06694444444445,yes
5,v,3,1,8508,148.47055555555556,yes
5,v,3,2,4118,148.5077777777778,yes
5,v,3,3,1975,148.5586111111111,yes
5,v,3,4,5694,148.59472222222223,yes
5,v,4,1,2942,148.6352777777778,yes
5,v,4,2,5732,148.67166666666665,yes
5,v,4,3,5630,148.70777777777778,yes
5,v,4,4,10984,148.745,yes
5,v,4,3,8803,173.6436111111111,yes
5,v,4,1,7748,173.5625,yes
5,v,4,2,11178,173.60194444444446,yes
5,v,4,4,14717,173.67416666666668,yes
15,v,NA,NA,1291,3.828888888888889,yes
15,v,NA,NA,791,3.857222222222222,yes
15,v,NA,NA,855,3.8858333333333333,yes
15,v,NA,NA,862,3.913611111111111,yes
15,v,NA,NA,660,3.9472222222222224,yes
15,v,NA,NA,1136,3.985,yes
15,v,NA,NA,1499,4.014444444444444,yes
15,v,NA,NA,1045,4.0472222222222225,yes
15,v,NA,NA,937,4.075277777777778,yes
15,v,NA,NA,999,4.1033333333333335,yes
15,v,NA,NA,1245,4.1530555555555555,yes
15,v,NA,NA,1029,4.183888888888889,yes
15,v,NA,NA,802,4.243611111111111,yes
15,v,NA,NA,1013,4.2155555555555555,yes
15,v,NA,NA,894,4.272222222222222,yes
15,v,NA,NA,479,4.300277777777778,yes
15,v,NA,NA,1109,4.329166666666667,yes
15,v,NA,NA,579,4.359166666666667,yes
15,v,NA,NA,789,4.3875,yes
15,v,NA,NA,740,4.42,yes
20,v,NA,NA,476,4.573333333333333,yes
20,v,NA,NA,735,4.61,yes
20,v,NA,NA,1013,4.638055555555556,yes
20,v,NA,NA,632,4.667777777777777,yes
20,v,NA,NA,862,4.849444444444444,yes
20,v,NA,NA,575,4.877777777777778,yes
20,v,NA,NA,832,4.9063888888888885,yes
20,v,NA,NA,1205,4.934722222222222,yes
20,v,NA,NA,476,4.963611111111111,yes
24,v,NA,NA,896,3.0947222222222224,yes
24,v,NA,NA,735,3.1233333333333335,yes
24,v,NA,NA,1078,3.1525,yes
24,v,NA,NA,495,3.1830555555555557,yes
24,v,NA,NA,766,3.2127777777777777,yes
24,v,NA,NA,1167,3.254722222222222,yes
24,v,NA,NA,722,3.2825,yes
24,v,NA,NA,761,3.338888888888889,yes
24,v,NA,NA,670,3.311111111111111,yes
24,v,NA,NA,656,3.39,yes
24,v,NA,NA,703,3.421388888888889,yes
24,v,NA,NA,772,3.450277777777778,yes
24,v,NA,NA,613,3.479722222222222,yes
24,v,NA,NA,1316,3.51,yes
24,v,NA,NA,707,3.5391666666666666,yes
24,v,NA,NA,1085,3.59,yes
24,v,NA,NA,916,3.6180555555555554,yes
24,v,NA,NA,999,3.6463888888888887,yes
24,v,NA,NA,814,3.674722222222222,yes
24,v,NA,NA,1321,3.7047222222222222,yes
20,v,NA,NA,1292,31.04083333333333,yes
20,v,NA,NA,2012,31.07,yes
20,v,NA,NA,706,31.09888888888889,yes
20,v,NA,NA,1194,31.126944444444444,yes
24,v,NA,NA,2235,30.891944444444444,yes
24,v,NA,NA,1991,30.919444444444444,yes
24,v,NA,NA,1578,30.949166666666667,yes
24,v,NA,NA,1443,30.977777777777778,yes
15,v,NA,NA,1124,29.345277777777778,yes
15,v,NA,NA,2151,29.374444444444446,yes
15,v,NA,NA,1688,29.40388888888889,yes
15,v,NA,NA,234,29.433055555555555,yes
20,v,NA,NA,803,28.89138888888889,yes
20,v,NA,NA,1543,28.92888888888889,yes
20,v,NA,NA,1197,28.959444444444443,yes
20,v,NA,NA,837,28.988333333333333,yes
24,v,NA,NA,1688,28.739722222222223,yes
24,v,NA,NA,1377,28.775,yes
24,v,NA,NA,1580,28.804166666666667,yes
24,v,NA,NA,1311,28.8325,yes
15,v,NA,NA,926,23.128611111111113,yes
15,v,NA,NA,605,23.156944444444445,yes
15,v,NA,NA,289,23.185277777777777,yes
15,v,NA,NA,753,23.214166666666667,yes
20,v,NA,NA,1825,22.87388888888889,yes
20,v,NA,NA,1568,22.90388888888889,yes
20,v,NA,NA,1313,22.932222222222222,yes
20,v,NA,NA,927,23.069444444444443,yes
24,v,NA,NA,1184,22.725555555555555,yes
24,v,NA,NA,1751,22.753888888888888,yes
24,v,NA,NA,1149,22.782777777777778,yes
24,v,NA,NA,1726,22.813333333333333,yes
15,v,NA,NA,9145,55.367222222222225,yes
15,v,NA,NA,5169,55.393055555555556,yes
15,v,NA,NA,3879,55.41638888888889,yes
15,v,NA,NA,5960,55.44444444444444,yes
15,v,NA,NA,5642,50.46527777777778,yes
15,v,NA,NA,3726,50.49444444444445,yes
15,v,NA,NA,3609,50.52444444444444,yes
15,v,NA,NA,3092,50.55361111111111,yes
20,v,NA,NA,10033,50.17111111111111,yes
20,v,NA,NA,7506,50.2,yes
20,v,NA,NA,10231,50.228611111111114,yes
20,v,NA,NA,11264,50.257777777777775,yes
24,v,NA,NA,7357,49.88055555555555,yes
24,v,NA,NA,11294,49.91138888888889,yes
24,v,NA,NA,8852,49.94138888888889,yes
24,v,NA,NA,7557,49.97,yes
15,v,NA,NA,1868,47.22888888888889,yes
15,v,NA,NA,3018,47.257222222222225,yes
15,v,NA,NA,2666,47.28777777777778,yes
15,v,NA,NA,3577,47.318333333333335,yes
20,v,NA,NA,6204,46.9275,yes
20,v,NA,NA,7769,46.95805555555555,yes
20,v,NA,NA,7329,46.98638888888889,yes
20,v,NA,NA,4281,47.01611111111111,yes
24,v,NA,NA,11597,46.778055555555554,yes
24,v,NA,NA,10922,46.80722222222222,yes
24,v,NA,NA,6072,46.83611111111111,yes
24,v,NA,NA,5613,46.86611111111111,yes
15,v,NA,NA,18957,79.2075,yes
15,v,NA,NA,15829,79.05666666666667,yes
15,v,NA,NA,14737,79.23805555555556,yes
15,v,NA,NA,11381,79.0886111111111,yes
15,v,NA,NA,13135,79.27111111111111,yes
15,v,NA,NA,18436,79.12138888888889,yes
15,v,NA,NA,16980,79.30361111111111,yes
15,v,NA,NA,15548,79.15222222222222,yes
15,v,NA,NA,11408,71.85833333333333,yes
15,v,NA,NA,10447,71.88777777777777,yes
15,v,NA,NA,8872,71.91722222222222,yes
15,v,NA,NA,10072,71.94666666666667,yes
