"Lat","Lon","Biome","Hemisphere","Mean","SD"
-59.5,-179.5,"marine","Southern",4.26983,1.00042
-59.5,-178.5,"marine","Southern",4.19835,1.00742
-59.5,-177.5,"marine","Southern",4.11452,1.01472
-59.5,-176.5,"marine","Southern",4.0266,1.02229
-59.5,-175.5,"marine","Southern",3.93461,1.03
-59.5,-174.5,"marine","Southern",3.8525,1.03641
-59.5,-173.5,"marine","Southern",3.78025,1.04167
-59.5,-172.5,"marine","Southern",3.71601,1.04589
-59.5,-171.5,"marine","Southern",3.65977,1.0492
-59.5,-170.5,"marine","Southern",3.59658,1.05184
-59.5,-169.5,"marine","Southern",3.52645,1.05365
-59.5,-168.5,"marine","Southern",3.44562,1.05406
-59.5,-167.5,"marine","Southern",3.35407,1.053
-59.5,-166.5,"marine","Southern",3.25527,1.05051
-59.5,-165.5,"marine","Southern",3.1492,1.04663
-59.5,-164.5,"marine","Southern",3.03947,1.04185
-59.5,-163.5,"marine","Southern",2.9261,1.03626
-59.5,-162.5,"marine","Southern",2.80863,1.02934
-59.5,-161.5,"marine","Southern",2.68709,1.02124
-59.5,-160.5,"marine","Southern",2.55993,1.0128
-59.5,-159.5,"marine","Southern",2.42715,1.00394
-59.5,-158.5,"marine","Southern",2.27691,0.99287
-59.5,-157.5,"marine","Southern",2.1092,0.979446
-59.5,-156.5,"marine","Southern",1.92814,0.966665
-59.5,-155.5,"marine","Southern",1.73374,0.954488
-59.5,-154.5,"marine","Southern",1.54481,0.947016
-59.5,-153.5,"marine","Southern",1.36135,0.944327
-59.5,-152.5,"marine","Southern",1.20423,0.947584
-59.5,-151.5,"marine","Southern",1.07347,0.956856
-59.5,-150.5,"marine","Southern",0.977536,0.97053
-59.5,-149.5,"marine","Southern",0.916438,0.989009
-59.5,-148.5,"marine","Southern",0.894277,1.0048
-59.5,-147.5,"marine","Southern",0.911054,1.01791
-59.5,-146.5,"marine","Southern",0.971318,1.02133
-59.5,-145.5,"marine","Southern",1.07507,1.01484
-59.5,-144.5,"marine","Southern",1.2085,1.0038
-59.5,-143.5,"marine","Southern",1.37161,0.988387
-59.5,-142.5,"marine","Southern",1.53033,0.973843
-59.5,-141.5,"marine","Southern",1.68467,0.960355
-59.5,-140.5,"marine","Southern",1.81152,0.949735
-59.5,-139.5,"marine","Southern",1.91088,0.941703
-59.5,-138.5,"marine","Southern",1.99615,0.936977
-59.5,-137.5,"marine","Southern",2.0673,0.935267
-59.5,-136.5,"marine","Southern",2.15428,0.937708
-59.5,-135.5,"marine","Southern",2.25707,0.944228
-59.5,-134.5,"marine","Southern",2.38205,0.950757
-59.5,-133.5,"marine","Southern",2.52922,0.957209
-59.5,-132.5,"marine","Southern",2.6877,0.962455
-59.5,-131.5,"marine","Southern",2.85748,0.966562
-59.5,-130.5,"marine","Southern",3.02228,0.968191
-59.5,-129.5,"marine","Southern",3.18207,0.967391
-59.5,-128.5,"marine","Southern",3.3272,0.965966
-59.5,-127.5,"marine","Southern",3.45765,0.963779
-59.5,-126.5,"marine","Southern",3.56774,0.960616
-59.5,-125.5,"marine","Southern",3.65747,0.956642
-59.5,-124.5,"marine","Southern",3.72298,0.95204
-59.5,-123.5,"marine","Southern",3.76428,0.946787
-59.5,-122.5,"marine","Southern",3.79286,0.941362
-59.5,-121.5,"marine","Southern",3.80871,0.935692
-59.5,-120.5,"marine","Southern",3.83694,0.93038
-59.5,-119.5,"marine","Southern",3.87757,0.925408
-59.5,-118.5,"marine","Southern",3.93357,0.920096
-59.5,-117.5,"marine","Southern",4.00494,0.914659
-59.5,-116.5,"marine","Southern",4.07346,0.908063
-59.5,-115.5,"marine","Southern",4.13913,0.900516
-59.5,-114.5,"marine","Southern",4.19267,0.891407
-59.5,-113.5,"marine","Southern",4.23406,0.880508
-59.5,-112.5,"marine","Southern",4.27184,0.870217
-59.5,-111.5,"marine","Southern",4.30601,0.860422
-59.5,-110.5,"marine","Southern",4.3451,0.853338
-59.5,-109.5,"marine","Southern",4.3891,0.849158
-59.5,-108.5,"marine","Southern",4.43856,0.845565
-59.5,-107.5,"marine","Southern",4.49348,0.842546
-59.5,-106.5,"marine","Southern",4.55107,0.838796
-59.5,-105.5,"marine","Southern",4.61133,0.834289
-59.5,-104.5,"marine","Southern",4.66877,0.829793
-59.5,-103.5,"marine","Southern",4.72339,0.825025
-59.5,-102.5,"marine","Southern",4.77213,0.821825
-59.5,-101.5,"marine","Southern",4.81499,0.820459
-59.5,-100.5,"marine","Southern",4.8488,0.822303
-59.5,-99.5,"marine","Southern",4.87357,0.827258
-59.5,-98.5,"marine","Southern",4.88761,0.83627
-59.5,-97.5,"marine","Southern",4.8909,0.849251
-59.5,-96.5,"marine","Southern",4.88929,0.862118
-59.5,-95.5,"marine","Southern",4.88277,0.874932
-59.5,-94.5,"marine","Southern",4.88785,0.884807
-59.5,-93.5,"marine","Southern",4.90452,0.891518
-59.5,-92.5,"marine","Southern",4.93516,0.89692
-59.5,-91.5,"marine","Southern",4.97979,0.90106
-59.5,-90.5,"marine","Southern",5.02901,0.907112
-59.5,-89.5,"marine","Southern",5.08281,0.915118
-59.5,-88.5,"marine","Southern",5.134,0.921078
-59.5,-87.5,"marine","Southern",5.18255,0.924903
-59.5,-86.5,"marine","Southern",5.22394,0.925375
-59.5,-85.5,"marine","Southern",5.25815,0.922397
-59.5,-84.5,"marine","Southern",5.28569,0.920138
-59.5,-83.5,"marine","Southern",5.30655,0.918667
-59.5,-82.5,"marine","Southern",5.32452,0.919826
-59.5,-81.5,"marine","Southern",5.33959,0.923654
-59.5,-80.5,"marine","Southern",5.35113,0.928977
-59.5,-79.5,"marine","Southern",5.35913,0.936137
-59.5,-78.5,"marine","Southern",5.35348,0.943507
-59.5,-77.5,"marine","Southern",5.33418,0.950795
-59.5,-76.5,"marine","Southern",5.29994,0.956994
-59.5,-75.5,"marine","Southern",5.25076,0.96212
-59.5,-74.5,"marine","Southern",5.19561,0.968633
-59.5,-73.5,"marine","Southern",5.13451,0.976624
-59.5,-72.5,"marine","Southern",5.04547,0.988706
-59.5,-71.5,"marine","Southern",4.92849,1.0048
-59.5,-70.5,"marine","Southern",4.75451,1.02265
-59.5,-69.5,"marine","Southern",4.52353,1.04228
-59.5,-68.5,"marine","Southern",4.24995,1.06277
-59.5,-67.5,"marine","Southern",3.93377,1.08415
-59.5,-66.5,"marine","Southern",3.61843,1.10562
-59.5,-65.5,"marine","Southern",3.30394,1.12742
-59.5,-64.5,"marine","Southern",3.02654,1.14398
-59.5,-63.5,"marine","Southern",2.78625,1.15512
-59.5,-62.5,"marine","Southern",2.58446,1.15988
-59.5,-61.5,"marine","Southern",2.42116,1.15807
-59.5,-60.5,"marine","Southern",2.26987,1.15397
-59.5,-59.5,"marine","Southern",2.13059,1.14759
-59.5,-58.5,"marine","Southern",1.98788,1.1383
-59.5,-57.5,"marine","Southern",1.84175,1.12606
-59.5,-56.5,"marine","Southern",1.69276,1.11352
-59.5,-55.5,"marine","Southern",1.54091,1.10105
-59.5,-54.5,"marine","Southern",1.39747,1.09397
-59.5,-53.5,"marine","Southern",1.26244,1.09232
-59.5,-52.5,"marine","Southern",1.13908,1.09744
-59.5,-51.5,"marine","Southern",1.02739,1.10933
-59.5,-50.5,"marine","Southern",0.925012,1.11941
-59.5,-49.5,"marine","Southern",0.831957,1.12757
-59.5,-48.5,"marine","Southern",0.751271,1.12765
-59.5,-47.5,"marine","Southern",0.682953,1.11989
-59.5,-46.5,"marine","Southern",0.608522,1.11737
-59.5,-45.5,"marine","Southern",0.527976,1.11972
-59.5,-44.5,"marine","Southern",0.438124,1.11995
-59.5,-43.5,"marine","Southern",0.338966,1.11837
-59.5,-42.5,"marine","Southern",0.246268,1.10941
-59.5,-41.5,"marine","Southern",0.160032,1.09323
-59.5,-40.5,"marine","Southern",0.0893722,1.07909
-59.5,-39.5,"marine","Southern",0.0342878,1.06668
-59.5,-38.5,"marine","Southern",-0.0175905,1.05615
-59.5,-37.5,"marine","Southern",-0.0662628,1.04738
-59.5,-36.5,"marine","Southern",-0.120412,1.03361
-59.5,-35.5,"marine","Southern",-0.180039,1.01478
-59.5,-34.5,"marine","Southern",-0.251117,0.993239
-59.5,-33.5,"marine","Southern",-0.333644,0.968797
-59.5,-32.5,"marine","Southern",-0.412441,0.950893
-59.5,-31.5,"marine","Southern",-0.487507,0.939767
-59.5,-30.5,"marine","Southern",-0.53628,0.943248
-59.5,-29.5,"marine","Southern",-0.558759,0.961356
-59.5,-28.5,"marine","Southern",-0.544877,0.985075
-59.5,-27.5,"marine","Southern",-0.494633,1.01495
-59.5,-26.5,"marine","Southern",-0.418238,1.02669
-59.5,-25.5,"marine","Southern",-0.315693,1.02293
-59.5,-24.5,"marine","Southern",-0.246765,1.01657
-59.5,-23.5,"marine","Southern",-0.211456,1.00464
-59.5,-22.5,"marine","Southern",-0.213631,0.994448
-59.5,-21.5,"marine","Southern",-0.25329,0.985585
-59.5,-20.5,"marine","Southern",-0.29734,0.973851
-59.5,-19.5,"marine","Southern",-0.345781,0.959237
-59.5,-18.5,"marine","Southern",-0.390563,0.947131
-59.5,-17.5,"marine","Southern",-0.431684,0.937531
-59.5,-16.5,"marine","Southern",-0.470103,0.92939
