isolate.code,latitude,longitude
1,-74.83,164.5
11,-58,62
14,-46.98,168.12
18,-41.27,174.85
30,-29.82,31.02
33,-23,14
34,-18.51,121.8
40,-12.48,130.8
49,5,-52
52,6,-54
54,6,-54
61,8.71,-52.5
63,9.81,-89.24
65,12.31,-56.04
68,14.67,-96.98
77,22.75,-158
78,22.76,-158.01
81,24.49,118.11
82,24.49,118.11
85,26.65,-111.8
86,27.01,-82.42
87,27.5,-115
89,28.5,-67.39
90,28.9,50.75
91,28.9,50.75
93,28.9,50.75
94,28.98,-64.35
97,29.71,-84.98
105,31.39,130.66
110,32.3,-64.7
116,32.87,-117.26
117,32.93,128.26
128,34.3,134.25
131,34.5,134.58
138,35.15,139.35
139,35.15,139.35
140,35.15,139.35
146,35.5,140
170,36.61,-121.89
171,36.61,-121.89
173,38.22,-76.85
188,39.6,-70.1
191,40.44,-73.98
193,40.68,-73.13
194,40.68,-73.13
195,40.68,-73.13
221,41.9,-70.32
225,42.43,-8.95
233,43.56,-69.45
239,44.7,-66.51
240,45,-145
299,54.12,8.86
320,56.57,9.07
324,58.88,20.32
332,59.45,10.52
335,59.45,10.52
337,59.45,10.52
338,59.45,10.52
344,59.67,10.61
345,59.67,10.61
346,59.67,10.61
358,66,2
363,76.28,-74.75
364,37.51,-68.24
365,0,-140
367,30.23,-88.8
462,33.93,130.83
463,33.93,130.83
464,33.93,130.83
465,33.93,130.83
466,33.93,130.83
467,33.93,130.83
470,33.93,130.83
472,33.93,130.83
543,40.75,14.33
544,40.49,14.14
553,39.5,-9.33
556,36.96,-122.02
559,-15.05,155.03
560,7.53,-49.25
561,6.98,-49.33
562,21.43,-157.79
563,-11.7,-32.01
570,-41.2,174.12
571,-41.13,173.99
572,-36.25,174.75
573,-36.25,174.75
603,60.17,5.54
606,57.85,9.07
