List File,20V-5-1.lst
Start Time,2017-04-03  16:37:00
Sampling Time,59 sec

Count,540
Particles / ml,21301

Efficiency,8.6%
PPUI,1.55

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),102.71,26.72,205.56,29.86,29.07
Aspect Ratio,0.78,0.42,0.99,0.11,14.75
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.45,0.93,0.08,11.51
Circularity (Hu),0.92,0.65,1.00,0.05,5.89
Compactness,1.69,1.06,5.23,0.37,21.95
Diameter (ABD),11.31,5.83,16.18,1.70,15.05
Diameter (ESD),13.01,6.66,18.48,1.79,13.79
Elongation,2.91,1.00,14.37,1.31,44.90
Geodesic Aspect Ratio,0.41,0.07,1.00,0.19,47.04
Geodesic Length,20.46,8.36,39.06,5.05,24.68
Geodesic Thickness,7.68,2.33,14.30,1.88,24.52
Image Height,38.02,26.00,49.00,4.48,11.80
Image Width,37.60,25.00,49.00,4.01,10.66
Intensity,134.27,75.52,173.65,17.79,13.25
Length,14.93,7.57,19.83,2.00,13.42
Perimeter,56.28,29.86,91.20,8.91,15.83
Roughness,1.23,1.04,1.86,0.13,10.14
Sigma Intensity,43.86,15.80,60.08,6.87,15.66
Sum Intensity,67707.57,19989.00,1.47e+005,21537.76,31.81
Transparency,0.13,0.05,0.33,0.04,28.84
Volume (ABD),807.91,103.88,2217.02,345.08,42.71
Width,10.89,4.94,17.46,2.01,18.43

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.19,0.02,39,0.01
7-8um,2,0.37,0.07,79,0.02
8-9um,7,1.30,0.34,276,0.09
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,5.74,1.90,1223,0.49
10-15um,452,83.70,79.59,17830,21
15-20um,57,10.56,18.51,2248,4.80
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,20,3.70,1.40,789,0.36
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

