List File,10VI_03.lst
Start Time,2017-02-18  15:57:04
Sampling Time,45 sec

Count,23
Particles / ml,1178

Efficiency,8.5%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),117.57,20.22,770.85,148.61,126.40
Aspect Ratio,0.73,0.38,0.96,0.17,22.73
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.12,0.88,0.21,32.35
Circularity (Hu),0.84,0.39,0.98,0.17,19.80
Compactness,2.38,1.13,7.98,1.62,68.06
Diameter (ABD),11.19,5.07,31.33,5.06,45.23
Diameter (ESD),13.60,7.46,38.00,6.11,44.93
Elongation,5.13,1.00,23.04,5.28,102.93
Geodesic Aspect Ratio,0.42,0.04,1.00,0.32,76.62
Geodesic Length,25.06,8.68,86.26,17.40,69.44
Geodesic Thickness,7.07,1.94,11.99,2.91,41.23
Image Height,39.22,28.00,74.00,10.16,25.91
Image Width,38.22,28.00,86.00,11.53,30.18
Intensity,143.47,110.88,177.07,18.45,12.86
Length,15.89,7.86,42.92,6.98,43.92
Perimeter,64.25,34.74,195.29,34.41,53.56
Roughness,1.37,1.07,2.42,0.31,22.24
Sigma Intensity,37.61,19.34,50.48,9.81,26.09
Sum Intensity,80737.87,24240.00,5.21e+005,98586.44,122.11
Transparency,0.17,0.06,0.45,0.10,59.68
Volume (ABD),1342.53,68.37,16099.87,3256.34,242.55
Width,10.90,5.11,32.88,5.46,50.13

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,4.35,0.39,51,0.01
8-9um,1,4.35,0.52,51,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,13.04,1.61,154,0.05
10-15um,17,73.91,32.35,871,0.92
15-20um,1,4.35,3.69,51,0.10
20-25um,1,4.35,10.53,51,0.30
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,4.35,51.82,51,1.47
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,4.35,0.70,51,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

