List File,24CII_04.lst
Start Time,2017-02-18  16:41:32
Sampling Time,45 sec

Count,25
Particles / ml,1281

Efficiency,8.5%
PPUI,1.09

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.79,20.01,200.27,41.82,44.12
Aspect Ratio,0.78,0.26,0.99,0.17,21.32
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.05,0.93,0.20,28.18
Circularity (Hu),0.88,0.16,1.00,0.20,22.89
Compactness,2.27,1.00,12.73,2.38,104.70
Diameter (ABD),10.67,5.05,15.97,2.66,24.91
Diameter (ESD),12.79,5.61,21.45,3.27,25.53
Elongation,4.75,1.00,37.97,7.58,159.58
Geodesic Aspect Ratio,0.44,0.03,1.00,0.28,63.24
Geodesic Length,22.03,6.08,77.43,13.50,61.27
Geodesic Thickness,7.26,1.64,12.77,2.56,35.28
Image Height,38.84,24.00,66.00,8.33,21.45
Image Width,35.80,25.00,44.00,5.34,14.91
Intensity,137.88,88.65,208.38,26.98,19.57
Length,14.87,5.98,30.41,4.64,31.23
Perimeter,58.58,24.34,158.93,24.76,42.28
Roughness,1.29,1.04,2.14,0.27,21.11
Sigma Intensity,36.65,3.88,53.62,11.62,31.71
Sum Intensity,63746.04,18492.00,1.46e+005,29620.48,46.47
Transparency,0.16,0.05,0.61,0.12,78.77
Volume (ABD),744.39,67.34,2132.01,462.85,62.18
Width,10.47,5.10,15.97,2.66,25.38

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,4.00,0.28,51,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,8.00,1.43,102,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,12.00,1.71,154,0.03
10-15um,18,72.00,58.50,922,0.98
15-20um,3,12.00,23.98,154,0.40
20-25um,1,4.00,15.80,51,0.26
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

