List File,30VIII_02.lst
Start Time,2017-02-18  18:40:39
Sampling Time,45 sec

Count,20
Particles / ml,1025

Efficiency,8.5%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),111.90,31.49,273.97,64.27,57.44
Aspect Ratio,0.76,0.53,0.96,0.11,14.50
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.51,0.84,0.10,14.39
Circularity (Hu),0.90,0.65,0.98,0.08,9.33
Compactness,1.89,1.13,3.92,0.76,40.24
Diameter (ABD),11.52,6.33,18.68,3.20,27.75
Diameter (ESD),13.52,8.40,22.95,3.52,26.07
Elongation,3.52,1.00,10.22,2.60,73.77
Geodesic Aspect Ratio,0.46,0.10,1.00,0.31,68.30
Geodesic Length,22.41,8.52,54.44,10.87,48.51
Geodesic Thickness,7.82,2.81,14.82,2.68,34.32
Image Height,39.50,31.00,50.00,5.14,13.00
Image Width,37.75,28.00,64.00,8.30,21.98
Intensity,132.81,87.11,173.07,21.53,16.21
Length,15.57,9.33,27.96,3.99,25.63
Perimeter,60.45,34.09,122.17,20.20,33.41
Roughness,1.33,1.06,1.75,0.21,15.89
Sigma Intensity,38.09,22.51,54.78,10.08,26.47
Sum Intensity,73393.75,23258.00,1.99e+005,45174.24,61.55
Transparency,0.15,0.05,0.31,0.06,41.86
Volume (ABD),988.39,132.90,3411.32,877.65,88.80
Width,11.14,6.22,17.96,3.54,31.79

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,5.00,0.99,51,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,10.00,2.31,102,0.04
10-15um,13,65.00,42.80,666,0.69
15-20um,4,20.00,34.67,205,0.56
20-25um,1,5.00,20.22,51,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,5.00,1.32,51,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

