List File,30VII_01.lst
Start Time,2017-02-18  18:34:18
Sampling Time,45 sec

Count,34
Particles / ml,1742

Efficiency,8.5%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),114.02,21.87,705.04,115.17,101.01
Aspect Ratio,0.74,0.51,0.99,0.13,18.17
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.16,0.94,0.15,22.67
Circularity (Hu),0.88,0.56,1.00,0.09,10.11
Compactness,1.94,1.00,4.78,0.93,47.64
Diameter (ABD),11.26,5.28,29.96,4.35,38.62
Diameter (ESD),13.36,6.58,38.08,5.38,40.25
Elongation,3.74,1.00,12.94,3.05,81.56
Geodesic Aspect Ratio,0.42,0.08,1.00,0.26,63.29
Geodesic Length,23.05,6.91,102.80,16.32,70.84
Geodesic Thickness,7.34,2.51,12.57,2.51,34.16
Image Height,39.59,26.00,99.00,12.33,31.16
Image Width,36.91,25.00,71.00,8.78,23.79
Intensity,138.23,95.97,181.15,18.70,13.53
Length,15.74,6.80,47.04,6.73,42.77
Perimeter,60.78,27.65,222.86,32.70,53.80
Roughness,1.33,1.05,2.48,0.34,25.44
Sigma Intensity,34.90,11.67,51.50,9.16,26.24
Sum Intensity,74363.62,26297.00,3.84e+005,63156.03,84.93
Transparency,0.15,0.04,0.38,0.07,45.30
Volume (ABD),1166.84,76.91,14082.77,2353.88,201.73
Width,10.72,5.80,30.66,4.38,40.92

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,5.88,0.43,102,0.02
7-8um,1,2.94,0.37,51,0.01
8-9um,3,8.82,1.43,154,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,7,20.59,2.88,359,0.10
10-15um,20,58.82,31.92,1025,1.14
15-20um,6,17.65,23.90,307,0.86
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,2.94,41.30,51,1.48
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,2.94,0.65,51,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

