List File,TT_inoc_1.lst
Start Time,2017-02-18  12:06:33
Sampling Time,4 sec

Count,304
Particles / ml,151786

Efficiency,8.7%
PPUI,5.43

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),147.16,20.22,1758.84,138.56,94.15
Aspect Ratio,0.71,0.29,0.98,0.14,19.16
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.14,0.88,0.16,25.88
Circularity (Hu),0.87,0.18,0.99,0.12,13.29
Compactness,1.95,1.05,17.05,1.43,73.29
Diameter (ABD),13.00,5.07,47.32,4.29,32.98
Diameter (ESD),15.12,6.55,54.56,5.05,33.40
Elongation,3.68,1.00,51.55,4.63,125.65
Geodesic Aspect Ratio,0.48,0.02,1.00,0.30,62.84
Geodesic Length,24.30,8.03,138.09,15.49,63.76
Geodesic Thickness,8.94,1.63,17.01,3.46,38.69
Image Height,42.02,26.00,119.00,10.06,23.93
Image Width,40.56,18.00,124.00,9.79,24.15
Intensity,144.74,80.91,208.81,28.77,19.88
Length,17.59,7.71,63.74,5.91,33.56
Perimeter,66.48,29.35,307.38,30.08,45.25
Roughness,1.27,1.03,3.14,0.28,21.92
Sigma Intensity,31.47,2.76,59.35,14.88,47.27
Sum Intensity,99477.16,20825.00,1.11e+006,89772.78,90.24
Transparency,0.14,0.05,0.61,0.08,55.81
Volume (ABD),1641.66,68.37,55488.63,3900.48,237.59
Width,12.01,2.21,47.47,4.20,35.01

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.99,0.06,1498,0.24
7-8um,3,0.99,0.08,1498,0.34
8-9um,8,2.63,0.32,3994,1.29
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,10.20,1.46,15478,5.88
10-15um,121,39.80,16.45,60415,66
15-20um,138,45.39,46.33,68903,186
20-25um,7,2.30,5.15,3495,21
25-30um,1,0.33,1.43,499,5.74
30-35um,2,0.66,4.25,999,17
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.33,5.24,499,21
45-50um,0,0.00,0.00,0.00,0.00
50-55um,2,0.66,19.62,999,79
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,5.59,1.00,8488,4.01
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

