List File,30CII_03r.lst
Start Time,2017-02-21  18:41:34
Sampling Time,45 sec

Count,310
Particles / ml,15763

Efficiency,8.7%
PPUI,1.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),109.26,21.45,498.05,47.91,43.85
Aspect Ratio,0.77,0.45,0.98,0.12,15.43
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.26,0.92,0.11,16.12
Circularity (Hu),0.90,0.44,1.00,0.09,9.77
Compactness,1.97,1.08,8.43,0.93,47.09
Diameter (ABD),11.55,5.23,25.18,2.39,20.72
Diameter (ESD),13.60,6.67,28.97,2.54,18.69
Elongation,3.83,1.00,24.43,3.04,79.40
Geodesic Aspect Ratio,0.37,0.04,1.00,0.22,58.71
Geodesic Length,23.13,8.75,66.09,7.89,34.11
Geodesic Thickness,7.40,1.63,17.30,2.51,33.92
Image Height,39.23,25.00,64.00,5.28,13.47
Image Width,38.60,25.00,77.00,5.51,14.28
Intensity,139.64,87.74,185.97,18.72,13.41
Length,15.56,7.48,35.98,2.94,18.86
Perimeter,61.05,30.97,147.53,14.26,23.35
Roughness,1.34,1.05,2.11,0.22,16.33
Sigma Intensity,40.88,16.36,56.52,7.90,19.33
Sum Intensity,73576.55,23326.00,2.76e+005,31213.13,42.42
Transparency,0.15,0.05,0.51,0.06,42.45
Volume (ABD),915.45,74.74,8361.22,703.44,76.84
Width,11.30,5.39,23.56,2.48,21.98

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.65,0.07,102,0.02
7-8um,3,0.97,0.14,153,0.03
8-9um,7,2.26,0.53,356,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,17,5.48,1.22,864,0.28
10-15um,220,70.97,56.94,11187,13
15-20um,69,22.26,34.20,3509,7.89
20-25um,2,0.65,2.54,102,0.59
25-30um,2,0.65,5.10,102,1.18
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,5,1.61,0.47,254,0.11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

