List File,24CIII_04.lst
Start Time,2017-02-23  13:39:39
Sampling Time,42 sec

Count,382
Particles / ml,20866

Efficiency,8.7%
PPUI,1.57

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.45,19.81,775.95,56.20,50.88
Aspect Ratio,0.76,0.30,0.98,0.13,16.72
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.20,0.94,0.11,15.61
Circularity (Hu),0.90,0.36,1.00,0.09,10.25
Compactness,1.83,1.09,9.89,0.88,47.97
Diameter (ABD),11.57,5.02,31.43,2.61,22.53
Diameter (ESD),13.40,6.81,35.33,2.75,20.53
Elongation,3.34,1.00,29.04,2.87,85.98
Geodesic Aspect Ratio,0.41,0.03,1.00,0.21,51.41
Geodesic Length,21.59,7.55,70.91,7.74,35.85
Geodesic Thickness,7.76,1.64,16.09,2.30,29.62
Image Height,38.50,23.00,77.00,5.94,15.43
Image Width,38.51,24.00,76.00,5.57,14.48
Intensity,137.88,82.97,188.67,19.50,14.14
Length,15.44,7.57,38.96,3.02,19.56
Perimeter,58.71,30.19,155.54,14.62,24.91
Roughness,1.26,1.05,2.59,0.18,14.44
Sigma Intensity,41.39,20.07,59.27,8.15,19.70
Sum Intensity,74016.99,18763.00,5.11e+005,38688.45,52.27
Transparency,0.14,0.05,0.47,0.06,45.38
Volume (ABD),945.19,66.31,16259.69,972.65,102.90
Width,11.08,3.18,32.69,2.90,26.20

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.52,0.06,109,0.02
7-8um,2,0.52,0.09,109,0.03
8-9um,8,2.09,0.46,437,0.14
0-5um,0,0.00,0.00,0.00,0.00
5-10um,29,7.59,1.99,1584,0.60
10-15um,273,71.47,56.11,14912,17
15-20um,75,19.63,33.18,4097,9.94
20-25um,2,0.52,2.19,109,0.66
25-30um,1,0.26,1.57,55,0.47
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.26,4.21,55,1.26
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,4.45,1.39,929,0.42
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

