List File,24VI_04r.lst
Start Time,2017-02-23  13:45:59
Sampling Time,45 sec

Count,490
Particles / ml,25231

Efficiency,8.6%
PPUI,1.73

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),118.65,19.81,1315.69,80.55,67.89
Aspect Ratio,0.75,0.37,0.99,0.12,16.28
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.18,0.89,0.11,16.41
Circularity (Hu),0.90,0.31,0.99,0.09,10.00
Compactness,1.88,1.07,10.01,0.84,44.72
Diameter (ABD),11.90,5.02,40.93,3.07,25.75
Diameter (ESD),13.82,6.46,47.81,3.41,24.66
Elongation,3.53,1.00,29.42,2.77,78.43
Geodesic Aspect Ratio,0.39,0.03,1.00,0.21,54.54
Geodesic Length,22.96,8.02,105.24,9.62,41.90
Geodesic Thickness,7.69,1.47,15.65,2.28,29.63
Image Height,39.51,26.00,115.00,7.45,18.86
Image Width,39.02,21.00,91.00,6.49,16.62
Intensity,139.93,80.90,190.89,19.74,14.10
Length,15.94,7.06,55.70,3.85,24.17
Perimeter,61.30,32.07,239.65,18.71,30.52
Roughness,1.27,1.05,2.39,0.19,15.03
Sigma Intensity,42.34,17.19,59.22,8.25,19.50
Sum Intensity,79440.04,20959.00,7.55e+005,50124.07,63.10
Transparency,0.14,0.04,0.55,0.06,45.97
Volume (ABD),1095.00,66.31,35899.91,1857.26,169.61
Width,11.42,3.59,41.28,3.32,29.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.20,0.02,51,0.01
7-8um,3,0.61,0.08,154,0.03
8-9um,11,2.24,0.44,566,0.19
0-5um,0,0.00,0.00,0.00,0.00
5-10um,33,6.73,1.47,1699,0.63
10-15um,330,67.35,45.38,16992,20
15-20um,115,23.47,33.52,5922,14
20-25um,8,1.63,5.84,412,2.52
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.20,2.46,51,1.06
35-40um,1,0.20,3.99,51,1.72
40-45um,0,0.00,0.00,0.00,0.00
45-50um,1,0.20,6.84,51,2.95
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,3.47,0.90,875,0.39
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

