List File,10CI_05.lst
Start Time,2017-02-25  18:35:18
Sampling Time,45 sec

Count,256
Particles / ml,13090

Efficiency,8.6%
PPUI,1.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),124.97,20.63,395.47,44.51,35.62
Aspect Ratio,0.76,0.31,0.99,0.14,18.23
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.13,0.95,0.12,17.88
Circularity (Hu),0.90,0.19,1.00,0.11,11.84
Compactness,1.89,1.05,9.40,0.99,52.15
Diameter (ABD),12.39,5.12,22.44,2.37,19.16
Diameter (ESD),14.37,5.98,29.62,2.50,17.39
Elongation,3.55,1.00,27.49,3.23,90.98
Geodesic Aspect Ratio,0.43,0.04,1.00,0.26,61.16
Geodesic Length,23.16,6.64,83.07,8.85,38.23
Geodesic Thickness,8.25,1.56,14.96,2.60,31.47
Image Height,40.45,24.00,67.00,5.45,13.48
Image Width,40.11,24.00,74.00,5.62,14.01
Intensity,128.14,81.03,210.59,20.06,15.66
Length,16.62,7.48,35.19,2.89,17.39
Perimeter,62.82,26.55,178.77,15.50,24.68
Roughness,1.27,1.05,2.60,0.20,16.15
Sigma Intensity,38.57,4.35,59.15,10.39,26.95
Sum Intensity,75041.68,19120.00,2.72e+005,28996.69,38.64
Transparency,0.14,0.03,0.59,0.08,55.70
Volume (ABD),1100.83,70.47,5916.06,593.81,53.94
Width,11.83,3.93,20.46,2.61,22.04

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.39,0.03,51,0.01
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,0.39,0.04,51,0.01
8-9um,4,1.56,0.31,205,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,12,4.69,0.98,614,0.22
10-15um,145,56.64,41.85,7414,9.31
15-20um,94,36.72,50.68,4806,11
20-25um,2,0.78,2.55,102,0.57
25-30um,1,0.39,3.13,51,0.70
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6,2.34,0.61,307,0.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

