List File,20v-1-2.lst
Start Time,2017-06-07  20:53:36
Sampling Time,46 sec

Count,8
Particles / ml,404

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),90.65,29.74,139.96,35.55,39.21
Aspect Ratio,0.79,0.61,0.89,0.09,11.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.38,0.80,0.16,23.93
Circularity (Hu),0.89,0.62,0.97,0.11,12.72
Compactness,1.93,1.43,2.62,0.48,25.08
Diameter (ABD),10.52,6.15,13.35,2.32,22.01
Diameter (ESD),12.42,8.81,15.21,2.05,16.54
Elongation,3.73,1.97,6.05,1.65,44.06
Geodesic Aspect Ratio,0.32,0.17,0.51,0.13,42.19
Geodesic Length,21.75,16.95,30.90,4.87,22.37
Geodesic Thickness,6.54,3.22,8.98,2.05,31.29
Image Height,36.25,28.00,41.00,4.89,13.49
Image Width,37.63,31.00,45.00,4.14,11.00
Intensity,134.79,106.94,185.35,23.72,17.60
Length,13.78,10.02,17.14,2.25,16.34
Perimeter,56.58,45.47,72.41,9.46,16.72
Roughness,1.36,1.16,1.61,0.18,13.35
Sigma Intensity,39.99,24.36,51.66,9.87,24.68
Sum Intensity,59138.00,33150.00,81314.00,19101.46,32.30
Transparency,0.16,0.09,0.30,0.07,43.90
Volume (ABD),683.68,121.99,1245.59,363.87,53.22
Width,10.70,7.03,13.02,1.92,17.92

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,12.50,4.17,50,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,12.50,4.17,50,0.02
10-15um,6,75.00,74.38,303,0.32
15-20um,1,12.50,21.45,50,0.09
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

