List File,5c-5-1.lst
Start Time,2017-06-07  19:23:26
Sampling Time,46 sec

Count,12
Particles / ml,596

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),98.26,21.04,145.89,40.20,40.91
Aspect Ratio,0.77,0.51,0.87,0.12,15.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.47,0.84,0.13,17.69
Circularity (Hu),0.89,0.62,0.98,0.11,12.18
Compactness,1.99,1.32,3.75,0.73,36.57
Diameter (ABD),10.87,5.18,13.63,2.78,25.55
Diameter (ESD),13.00,7.12,17.62,2.87,22.12
Elongation,3.90,1.45,9.68,2.46,62.94
Geodesic Aspect Ratio,0.35,0.10,0.69,0.19,54.99
Geodesic Length,22.23,14.78,36.65,6.85,30.80
Geodesic Thickness,7.07,2.27,10.22,2.67,37.75
Image Height,38.67,27.00,50.00,6.51,16.84
Image Width,37.42,27.00,45.00,5.21,13.93
Intensity,145.10,113.97,182.51,19.80,13.65
Length,14.91,8.15,22.88,3.68,24.67
Perimeter,58.62,36.17,85.28,12.96,22.10
Roughness,1.43,1.22,1.68,0.14,9.86
Sigma Intensity,40.29,23.07,50.08,8.41,20.88
Sum Intensity,67901.00,24850.00,1.00e+005,24611.47,36.25
Transparency,0.17,0.09,0.34,0.08,44.40
Volume (ABD),779.45,72.59,1325.59,398.26,51.10
Width,10.86,5.75,13.87,2.41,22.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,8.33,1.21,50,0.01
8-9um,1,8.33,1.92,50,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,16.67,3.14,99,0.02
10-15um,8,66.67,64.97,397,0.50
15-20um,2,16.67,31.89,99,0.25
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

