List File,16c-1-3_copy.lst
Start Time,2017-06-08  17:00:52
Sampling Time,48 sec

Count,20  of  20
Particles / ml,951

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),145.00,21.24,209.27,47.83,32.99
Aspect Ratio,0.84,0.67,0.98,0.10,12.40
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.74,0.41,0.94,0.10,13.60
Circularity (Hu),0.95,0.89,1.00,0.03,2.96
Compactness,1.68,1.00,2.58,0.45,26.86
Diameter (ABD),13.35,5.20,16.32,2.60,19.51
Diameter (ESD),15.02,5.46,18.77,3.04,20.26
Elongation,2.94,1.00,5.93,1.52,51.66
Geodesic Aspect Ratio,0.45,0.17,1.00,0.27,58.93
Geodesic Length,23.81,5.97,37.71,8.77,36.82
Geodesic Thickness,8.73,5.78,13.52,1.94,22.22
Image Height,42.00,24.00,50.00,5.92,14.10
Image Width,40.90,24.00,49.00,6.18,15.11
Intensity,121.72,102.34,163.41,15.23,12.51
Length,16.82,5.76,20.78,3.41,20.27
Perimeter,65.08,23.88,89.96,16.27,25.00
Roughness,1.26,1.04,1.67,0.17,13.38
Sigma Intensity,39.89,11.07,53.07,10.24,25.67
Sum Intensity,81219.45,18533.00,1.46e+005,27960.98,34.43
Transparency,0.11,0.05,0.16,0.03,30.40
Volume (ABD),1368.02,73.66,2277.27,608.80,44.50
Width,12.96,5.10,16.82,2.84,21.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,5.00,0.22,48,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,5.00,0.22,48,0.00
10-15um,8,40.00,26.37,381,0.49
15-20um,11,55.00,73.41,523,1.37
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

