List File,27v-1-2_copy.lst
Start Time,2017-06-08  16:06:57
Sampling Time,44 sec

Count,18  of  18
Particles / ml,937

Efficiency,8.7%
PPUI,1.04

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),141.55,97.57,181.31,20.63,14.57
Aspect Ratio,0.78,0.62,0.96,0.10,12.81
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.60,0.85,0.06,8.39
Circularity (Hu),0.94,0.88,0.98,0.03,2.96
Compactness,1.77,1.23,3.67,0.58,33.06
Diameter (ABD),13.39,11.15,15.19,1.00,7.48
Diameter (ESD),15.24,12.31,18.73,1.54,10.13
Elongation,3.14,1.00,9.42,2.00,63.83
Geodesic Aspect Ratio,0.43,0.11,1.00,0.25,57.06
Geodesic Length,24.17,12.15,46.55,8.12,33.61
Geodesic Thickness,8.85,4.94,14.34,2.31,26.06
Image Height,43.06,35.00,51.00,4.40,10.22
Image Width,40.44,34.00,48.00,4.44,10.97
Intensity,111.76,89.13,136.42,11.70,10.47
Length,17.47,13.31,20.36,1.80,10.32
Perimeter,66.04,48.59,102.98,12.65,19.15
Roughness,1.25,1.06,1.58,0.15,11.73
Sigma Intensity,37.44,23.58,50.36,6.45,17.23
Sum Intensity,73246.83,42602.00,1.02e+005,14415.68,19.68
Transparency,0.12,0.08,0.22,0.03,28.02
Volume (ABD),1276.54,725.02,1836.52,272.76,21.37
Width,12.89,10.23,16.82,1.81,14.01

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,0,0.00,0.00,0.00,0.00
10-15um,9,50.00,40.45,469,0.72
15-20um,9,50.00,59.55,469,1.07
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

