List File,20c-2-3.lst
Start Time,2017-06-10  20:51:26
Sampling Time,40 sec

Count,432
Particles / ml,24911

Efficiency,8.7%
PPUI,1.95

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),119.59,20.01,261.59,27.67,23.14
Aspect Ratio,0.79,0.44,0.99,0.11,14.30
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.35,0.92,0.10,14.62
Circularity (Hu),0.91,0.46,0.99,0.06,6.75
Compactness,1.87,1.06,6.42,0.63,33.73
Diameter (ABD),12.25,5.05,18.25,1.51,12.32
Diameter (ESD),14.16,8.50,21.86,1.70,11.98
Elongation,3.51,1.00,18.12,2.11,60.19
Geodesic Aspect Ratio,0.38,0.06,1.00,0.22,58.13
Geodesic Length,23.66,9.74,48.09,6.94,29.34
Geodesic Thickness,7.76,1.69,14.09,2.09,26.87
Image Height,39.74,27.00,56.00,4.11,10.33
Image Width,40.00,27.00,52.00,4.09,10.22
Intensity,130.59,88.57,182.87,15.32,11.73
Length,16.10,9.78,25.82,1.89,11.71
Perimeter,62.84,38.97,106.24,11.23,17.88
Roughness,1.29,1.04,1.93,0.16,12.06
Sigma Intensity,43.24,18.95,55.54,7.34,16.97
Sum Intensity,74270.90,26517.00,1.45e+005,19106.86,25.73
Transparency,0.13,0.04,0.44,0.04,32.68
Volume (ABD),1003.93,67.34,3182.73,339.30,33.80
Width,12.03,6.18,16.62,1.98,16.48

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,2,0.46,0.10,115,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,7,1.62,0.44,404,0.17
10-15um,304,70.37,60.12,17530,23
15-20um,117,27.08,38.27,6747,15
20-25um,1,0.23,0.82,58,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,5,1.16,0.35,288,0.13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

