List File,27v-1-2-r2.lst
Start Time,2017-06-10  12:07:09
Sampling Time,48 sec

Count,317
Particles / ml,15155

Efficiency,8.7%
PPUI,1.40

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),128.21,20.83,212.18,34.93,27.24
Aspect Ratio,0.80,0.33,0.98,0.09,10.97
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.33,0.89,0.09,12.03
Circularity (Hu),0.93,0.41,0.99,0.05,5.77
Compactness,1.77,1.03,6.81,0.57,32.10
Diameter (ABD),12.63,5.15,16.44,1.92,15.24
Diameter (ESD),14.42,6.28,18.87,2.11,14.64
Elongation,3.19,1.00,19.33,1.90,59.44
Geodesic Aspect Ratio,0.41,0.05,1.00,0.22,55.40
Geodesic Length,23.23,7.16,44.70,6.60,28.41
Geodesic Thickness,8.21,1.70,15.37,2.15,26.23
Image Height,41.14,26.00,56.00,4.83,11.74
Image Width,39.44,22.00,50.00,4.46,11.30
Intensity,129.51,75.91,184.91,17.63,13.61
Length,16.28,6.80,23.94,2.40,14.72
Perimeter,62.89,28.62,100.50,11.39,18.10
Roughness,1.27,1.04,1.84,0.16,12.38
Sigma Intensity,42.49,16.44,58.34,8.27,19.47
Sum Intensity,77952.11,20819.00,1.33e+005,22878.81,29.35
Transparency,0.12,0.04,0.43,0.04,35.11
Volume (ABD),1123.94,71.52,2325.04,424.58,37.78
Width,12.30,4.14,16.67,2.12,17.19

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.95,0.08,143,0.02
7-8um,2,0.63,0.10,96,0.03
8-9um,3,0.95,0.19,143,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,3.47,0.62,526,0.15
10-15um,162,51.10,40.46,7745,10
15-20um,137,43.22,58.57,6550,14
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,0.95,0.25,143,0.06
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

