List File,10v-3-2.lst
Start Time,2017-06-11  18:17:19
Sampling Time,49 sec

Count,287
Particles / ml,13536

Efficiency,8.7%
PPUI,1.46

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),140.96,20.01,214.57,33.40,23.69
Aspect Ratio,0.79,0.44,0.99,0.12,14.78
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.29,0.87,0.10,14.56
Circularity (Hu),0.92,0.48,0.99,0.06,6.73
Compactness,1.83,1.08,9.31,0.74,40.13
Diameter (ABD),13.28,5.05,16.53,1.79,13.46
Diameter (ESD),15.26,6.45,18.91,1.94,12.68
Elongation,3.39,1.00,27.22,2.43,71.53
Geodesic Aspect Ratio,0.39,0.04,1.00,0.20,52.31
Geodesic Length,24.87,10.21,56.13,7.28,29.25
Geodesic Thickness,8.48,2.01,15.91,2.20,25.91
Image Height,41.81,25.00,55.00,4.61,11.02
Image Width,41.97,23.00,51.00,4.68,11.15
Intensity,134.24,76.59,190.01,15.33,11.42
Length,17.41,7.95,23.54,2.15,12.35
Perimeter,66.70,31.94,116.38,12.17,18.24
Roughness,1.33,1.05,2.16,0.18,13.76
Sigma Intensity,43.99,21.68,57.57,7.39,16.81
Sum Intensity,87371.90,18724.00,1.40e+005,22268.73,25.49
Transparency,0.13,0.04,0.42,0.04,33.88
Volume (ABD),1286.94,67.34,2364.40,422.59,32.84
Width,12.99,4.70,17.60,2.20,16.92

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.70,0.06,94,0.01
7-8um,1,0.35,0.03,47,0.01
8-9um,1,0.35,0.05,47,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,6,2.09,0.33,283,0.08
10-15um,94,32.75,24.33,4433,6.14
15-20um,175,60.98,75.34,8253,19
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,0.70,0.18,94,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

