List File,20v-3-4_copy.lst
Start Time,2017-06-11  11:16:55
Sampling Time,51 sec

Count,583  of  583
Particles / ml,26506

Efficiency,8.6%
PPUI,1.83

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.82,19.81,198.95,30.35,26.21
Aspect Ratio,0.78,0.26,0.99,0.13,16.13
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.24,0.88,0.10,14.66
Circularity (Hu),0.91,0.28,0.99,0.08,8.60
Compactness,1.85,1.09,6.91,0.65,35.04
Diameter (ABD),12.02,5.02,15.92,1.74,14.44
Diameter (ESD),13.92,7.41,18.72,1.80,12.96
Elongation,3.44,1.00,19.66,2.18,63.23
Geodesic Aspect Ratio,0.39,0.05,1.00,0.22,56.81
Geodesic Length,23.02,9.39,52.39,6.84,29.70
Geodesic Thickness,7.74,1.51,15.05,2.15,27.74
Image Height,39.37,25.00,51.00,4.30,10.92
Image Width,39.56,20.00,53.00,4.50,11.39
Intensity,133.09,86.72,214.13,16.73,12.57
Length,15.91,8.95,22.74,1.93,12.11
Perimeter,61.52,36.82,114.11,11.41,18.54
Roughness,1.28,1.04,2.17,0.16,12.32
Sigma Intensity,43.24,9.53,59.57,8.01,18.53
Sum Intensity,73543.08,23674.00,1.27e+005,20739.09,28.20
Transparency,0.14,0.05,0.56,0.05,38.51
Volume (ABD),962.78,66.31,2110.95,356.39,37.02
Width,11.70,2.77,16.30,2.24,19.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,0.34,0.05,91,0.02
8-9um,7,1.20,0.27,318,0.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,16,2.74,0.71,727,0.28
10-15um,407,69.81,59.34,18504,23
15-20um,160,27.44,39.95,7274,16
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,1.20,0.39,318,0.15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

