List File,5c-3-1_copy.lst
Start Time,2017-06-12  20:34:27
Sampling Time,54 sec

Count,29  of  29
Particles / ml,1242

Efficiency,8.7%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),141.34,86.40,222.01,32.21,22.79
Aspect Ratio,0.80,0.69,0.95,0.08,9.46
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.49,0.85,0.08,11.78
Circularity (Hu),0.94,0.85,0.98,0.03,3.32
Compactness,1.78,1.10,3.20,0.56,31.51
Diameter (ABD),13.33,10.49,16.81,1.51,11.32
Diameter (ESD),15.12,12.65,18.29,1.54,10.18
Elongation,3.21,1.00,7.93,1.91,59.54
Geodesic Aspect Ratio,0.45,0.13,1.00,0.29,64.52
Geodesic Length,23.85,13.27,42.72,7.42,31.09
Geodesic Thickness,8.96,4.62,16.35,3.13,34.93
Image Height,41.97,35.00,53.00,4.13,9.83
Image Width,41.34,34.00,51.00,3.98,9.62
Intensity,127.35,99.65,156.47,15.56,12.22
Length,17.08,13.27,21.69,1.95,11.41
Perimeter,65.63,51.53,96.22,10.56,16.10
Roughness,1.28,1.06,1.63,0.15,11.72
Sigma Intensity,40.91,24.87,52.19,9.01,22.03
Sum Intensity,82413.21,52291.00,1.14e+005,17160.29,20.82
Transparency,0.12,0.04,0.19,0.04,35.24
Volume (ABD),1287.53,604.12,2488.44,444.59,34.53
Width,12.97,10.78,15.49,1.29,9.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,0,0.00,0.00,0.00,0.00
10-15um,13,44.83,32.87,557,0.76
15-20um,16,55.17,67.13,685,1.55
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

