List File,5v-4-2_copy.lst
Start Time,2017-06-14  20:22:18
Sampling Time,51 sec

Count,249  of  249
Particles / ml,11178

Efficiency,8.7%
PPUI,1.38

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),149.97,24.17,229.73,33.74,22.50
Aspect Ratio,0.81,0.31,0.98,0.11,13.25
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.17,0.92,0.11,17.20
Circularity (Hu),0.92,0.30,1.00,0.07,7.46
Compactness,1.96,1.07,7.99,0.80,40.80
Diameter (ABD),13.71,5.55,17.10,1.71,12.48
Diameter (ESD),15.84,7.24,21.24,1.94,12.26
Elongation,3.84,1.00,23.06,2.63,68.51
Geodesic Aspect Ratio,0.35,0.04,1.00,0.21,59.92
Geodesic Length,27.20,9.47,53.00,8.07,29.67
Geodesic Thickness,8.22,1.82,15.35,2.20,26.74
Image Height,43.16,29.00,55.00,4.40,10.20
Image Width,42.75,25.00,56.00,4.63,10.83
Intensity,133.57,73.28,161.39,15.13,11.32
Length,17.86,8.55,27.14,2.26,12.68
Perimeter,70.83,33.44,116.13,13.34,18.83
Roughness,1.35,1.05,2.01,0.18,13.46
Sigma Intensity,42.85,10.88,56.48,8.22,19.18
Sum Intensity,91707.19,22927.00,1.57e+005,22822.34,24.89
Transparency,0.13,0.04,0.52,0.05,36.37
Volume (ABD),1408.89,89.37,2619.41,445.71,31.64
Width,13.69,4.86,18.78,2.11,15.44

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,0.80,0.07,90,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,1.20,0.16,135,0.04
10-15um,75,30.12,19.92,3367,4.84
15-20um,168,67.47,77.26,7542,19
20-25um,3,1.20,2.65,135,0.64
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,0.40,0.09,45,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

