List File,24c-4-1_copy.lst
Start Time,2017-06-14  11:41:48
Sampling Time,48 sec

Count,451  of  451
Particles / ml,21598

Efficiency,8.7%
PPUI,1.56

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.28,22.91,189.19,25.34,29.04
Aspect Ratio,0.76,0.33,0.98,0.12,15.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.18,0.89,0.12,17.15
Circularity (Hu),0.89,0.44,0.99,0.07,7.80
Compactness,1.81,1.05,5.60,0.66,36.25
Diameter (ABD),10.43,5.40,15.52,1.56,14.98
Diameter (ESD),12.28,6.84,21.73,1.90,15.47
Elongation,3.29,1.00,15.53,2.22,67.53
Geodesic Aspect Ratio,0.45,0.06,1.00,0.29,63.37
Geodesic Length,20.03,7.55,50.92,7.54,37.63
Geodesic Thickness,7.28,2.61,14.16,2.28,31.37
Image Height,36.46,24.00,61.00,4.78,13.12
Image Width,36.39,25.00,62.00,4.16,11.43
Intensity,138.18,75.75,174.33,15.97,11.55
Length,14.18,8.25,28.14,2.22,15.65
Perimeter,54.61,29.86,110.66,12.39,22.69
Roughness,1.30,1.03,1.85,0.18,14.05
Sigma Intensity,37.64,10.69,53.72,8.49,22.55
Sum Intensity,60766.48,20266.00,1.16e+005,17763.80,29.23
Transparency,0.15,0.05,0.39,0.05,32.97
Volume (ABD),632.84,82.47,1957.61,271.58,42.91
Width,10.04,3.79,15.33,2.09,20.81

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.22,0.04,48,0.01
7-8um,7,1.55,0.33,335,0.08
8-9um,15,3.33,1.01,718,0.23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,45,9.98,3.52,2155,0.79
10-15um,378,83.81,82.37,18102,19
15-20um,26,5.76,11.97,1245,2.69
20-25um,2,0.44,2.15,96,0.48
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,22,4.88,2.14,1054,0.48
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

