List File,5c-5-1_copy.lst
Start Time,2017-06-16  17:19:29
Sampling Time,1 min 1 sec

Count,216  of  216
Particles / ml,8197

Efficiency,8.6%
PPUI,1.44

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.18,49.84,182.36,22.96,18.19
Aspect Ratio,0.79,0.40,0.98,0.11,14.17
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.35,0.88,0.09,12.89
Circularity (Hu),0.93,0.66,0.99,0.05,4.88
Compactness,1.67,1.10,2.95,0.38,22.51
Diameter (ABD),12.62,7.97,15.24,1.21,9.61
Diameter (ESD),14.37,8.87,15.99,1.40,9.73
Elongation,2.83,1.00,7.12,1.35,47.74
Geodesic Aspect Ratio,0.45,0.14,1.00,0.25,54.46
Geodesic Length,22.01,9.66,36.11,5.90,26.81
Geodesic Thickness,8.71,4.90,14.75,2.28,26.15
Image Height,40.22,29.00,50.00,4.15,10.31
Image Width,40.23,30.00,48.00,3.39,8.43
Intensity,127.57,93.96,161.97,15.95,12.50
Length,16.38,9.56,21.57,1.72,10.49
Perimeter,61.45,37.73,82.36,8.71,14.18
Roughness,1.26,1.04,1.73,0.14,11.12
Sigma Intensity,42.94,20.79,62.85,7.87,18.33
Sum Intensity,76034.13,34262.00,1.17e+005,17734.11,23.32
Transparency,0.12,0.04,0.23,0.03,25.40
Volume (ABD),1079.83,264.66,1852.50,280.99,26.02
Width,12.21,7.56,15.06,1.68,13.77

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,0.46,0.11,38,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,1.39,0.41,114,0.05
10-15um,118,54.63,45.94,4478,6.00
15-20um,94,43.52,53.14,3567,6.95
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,0.93,0.30,76,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

