List File,24v-2-5.lst
Start Time,2017-06-16  14:29:35
Sampling Time,49 sec

Count,14
Particles / ml,656

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),109.34,23.75,163.01,41.19,37.67
Aspect Ratio,0.78,0.60,0.96,0.10,12.85
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.59,0.94,0.11,15.20
Circularity (Hu),0.93,0.83,1.00,0.05,5.39
Compactness,1.61,1.00,2.73,0.43,26.53
Diameter (ABD),11.53,5.50,14.41,2.57,22.32
Diameter (ESD),13.18,5.78,16.39,2.85,21.65
Elongation,2.64,1.00,6.43,1.46,55.25
Geodesic Aspect Ratio,0.48,0.16,1.00,0.23,47.86
Geodesic Length,19.88,6.25,37.04,6.81,34.28
Geodesic Thickness,8.34,4.39,11.51,2.35,28.14
Image Height,38.00,24.00,45.00,5.11,13.46
Image Width,38.07,25.00,47.00,6.81,17.89
Intensity,142.50,118.75,165.97,12.35,8.66
Length,15.31,6.03,20.07,3.41,22.29
Perimeter,56.44,24.98,85.60,13.30,23.57
Roughness,1.28,1.05,1.66,0.17,13.38
Sigma Intensity,39.01,10.72,50.74,12.43,31.87
Sum Intensity,74922.14,22238.00,1.11e+005,26741.35,35.69
Transparency,0.12,0.05,0.19,0.05,37.95
Volume (ABD),905.85,87.04,1565.60,447.58,49.41
Width,11.01,5.25,14.30,2.65,24.09

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,7.14,0.54,47,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,7.14,1.77,47,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,14.29,2.31,94,0.02
10-15um,9,64.29,64.63,422,0.57
15-20um,3,21.43,33.06,141,0.29
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

