List File,29c-1-4-r2.lst
Start Time,2017-06-16  11:16:28
Sampling Time,49 sec

Count,23
Particles / ml,1085

Efficiency,8.7%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),121.74,36.36,798.60,149.81,123.05
Aspect Ratio,0.75,0.46,0.98,0.16,20.99
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.33,0.86,0.15,22.07
Circularity (Hu),0.89,0.40,0.98,0.13,14.53
Compactness,1.89,1.28,7.56,1.27,67.25
Diameter (ABD),11.56,6.80,31.89,4.71,40.77
Diameter (ESD),13.84,8.34,40.43,6.05,43.68
Elongation,3.50,1.17,21.69,4.10,117.04
Geodesic Aspect Ratio,0.42,0.05,0.86,0.19,46.27
Geodesic Length,22.27,11.55,72.61,12.94,58.13
Geodesic Thickness,7.81,2.01,13.94,2.34,30.04
Image Height,39.87,27.00,101.00,14.27,35.79
Image Width,39.04,29.00,71.00,7.95,20.35
Intensity,135.82,94.73,163.01,18.53,13.64
Length,16.21,9.96,49.01,7.44,45.87
Perimeter,60.15,36.63,173.11,27.16,45.16
Roughness,1.34,1.08,2.22,0.27,19.90
Sigma Intensity,40.22,23.77,51.92,8.14,20.25
Sum Intensity,78994.30,27230.00,4.60e+005,85295.61,107.98
Transparency,0.16,0.09,0.44,0.07,45.02
Volume (ABD),1382.05,164.92,16976.80,3410.46,246.77
Width,10.99,6.66,28.18,4.42,40.18

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,4.35,0.51,47,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,13.04,2.24,141,0.06
10-15um,19,82.61,39.20,896,1.09
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,4.35,58.56,47,1.63
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,8.70,1.73,94,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

