List File,29c-1-4_copy.lst
Start Time,2017-06-16  11:11:50
Sampling Time,51 sec

Count,19  of  19
Particles / ml,872

Efficiency,8.4%
PPUI,12.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),112.31,79.27,158.07,20.87,18.58
Aspect Ratio,0.81,0.70,0.96,0.07,8.72
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.78,0.69,0.86,0.05,6.85
Circularity (Hu),0.95,0.91,0.98,0.02,1.93
Compactness,1.48,1.09,1.77,0.20,13.61
Diameter (ABD),11.91,10.05,14.19,1.10,9.25
Diameter (ESD),13.33,10.62,16.20,1.31,9.80
Elongation,2.20,1.00,3.27,0.72,32.78
Geodesic Aspect Ratio,0.52,0.31,1.00,0.21,40.57
Geodesic Length,18.85,10.33,26.94,4.09,21.67
Geodesic Thickness,8.96,6.15,11.55,1.38,15.38
Image Height,38.95,35.00,45.00,3.15,8.10
Image Width,38.00,31.00,47.00,3.99,10.49
Intensity,147.00,107.53,162.85,15.90,10.82
Length,14.99,12.15,17.96,1.59,10.59
Perimeter,55.64,41.31,70.91,6.59,11.85
Roughness,1.26,1.06,1.57,0.14,10.87
Sigma Intensity,44.70,29.24,51.08,4.63,10.35
Sum Intensity,79477.53,43548.00,1.09e+005,17683.55,22.25
Transparency,0.11,0.05,0.16,0.03,24.45
Volume (ABD),906.28,530.91,1494.94,254.00,28.03
Width,11.44,8.79,15.06,1.31,11.43

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,0,0.00,0.00,0.00,0.00
10-15um,18,94.74,90.81,826,1.01
15-20um,1,5.26,9.19,46,0.10
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

