List File,15v-4-3.lst
Start Time,2017-06-18  13:39:24
Sampling Time,49 sec

Count,66
Particles / ml,3092

Efficiency,8.7%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.95,25.01,180.00,37.55,32.39
Aspect Ratio,0.77,0.44,0.98,0.12,16.07
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.33,0.86,0.12,17.23
Circularity (Hu),0.89,0.37,0.98,0.13,13.98
Compactness,1.94,1.12,7.95,1.11,57.07
Diameter (ABD),11.93,5.64,15.14,2.31,19.39
Diameter (ESD),13.99,7.94,17.36,2.01,14.36
Elongation,3.73,1.00,22.92,3.58,96.19
Geodesic Aspect Ratio,0.39,0.04,1.00,0.22,57.27
Geodesic Length,22.63,11.19,39.33,5.79,25.57
Geodesic Thickness,7.87,1.72,14.33,2.63,33.38
Image Height,40.09,31.00,51.00,4.28,10.66
Image Width,39.30,25.00,48.00,4.52,11.49
Intensity,131.30,93.01,185.55,22.67,17.27
Length,15.95,11.10,21.48,2.17,13.57
Perimeter,61.01,35.52,82.09,9.65,15.82
Roughness,1.31,1.06,1.71,0.18,13.50
Sigma Intensity,40.02,23.97,51.47,7.97,19.91
Sum Intensity,70338.88,29626.00,1.25e+005,20568.95,29.24
Transparency,0.15,0.04,0.54,0.09,60.50
Volume (ABD),978.50,94.10,1816.63,414.63,42.37
Width,11.70,3.54,15.89,2.35,20.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,1.52,0.40,47,0.01
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,3.03,1.00,94,0.03
10-15um,29,43.94,59.60,1359,1.82
15-20um,12,18.18,39.40,562,1.20
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,1.52,0.59,47,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

