List File,24c-3-2.lst
Start Time,2017-06-18  13:46:19
Sampling Time,46 sec

Count,280
Particles / ml,13934

Efficiency,8.7%
PPUI,1.43

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.51,21.04,164.31,28.88,25.00
Aspect Ratio,0.76,0.46,0.97,0.11,14.35
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.32,0.87,0.09,12.79
Circularity (Hu),0.91,0.40,0.99,0.07,7.73
Compactness,1.75,1.08,8.14,0.64,36.33
Diameter (ABD),12.01,5.18,14.46,1.71,14.23
Diameter (ESD),13.80,6.69,15.99,1.68,12.18
Elongation,3.11,1.00,23.53,2.11,68.00
Geodesic Aspect Ratio,0.41,0.04,1.00,0.20,49.24
Geodesic Length,21.73,8.28,38.60,5.36,24.66
Geodesic Thickness,8.05,1.60,14.95,2.14,26.52
Image Height,39.00,26.00,48.00,4.40,11.29
Image Width,39.56,27.00,49.00,4.07,10.29
Intensity,130.47,92.06,187.23,16.40,12.57
Length,15.95,7.48,19.64,1.90,11.92
Perimeter,59.57,31.94,85.87,8.80,14.77
Roughness,1.24,1.05,1.86,0.13,10.64
Sigma Intensity,41.97,23.06,60.10,7.04,16.76
Sum Intensity,71795.66,19795.00,1.15e+005,19205.33,26.75
Transparency,0.13,0.05,0.46,0.05,38.28
Volume (ABD),957.10,72.59,1584.40,326.42,34.10
Width,11.46,5.14,14.83,1.96,17.07

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.36,0.04,50,0.01
7-8um,1,0.36,0.06,50,0.01
8-9um,2,0.71,0.17,100,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,3.93,1.14,547,0.20
10-15um,173,61.79,66.05,8609,11
15-20um,59,21.07,32.81,2936,5.69
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,2.50,0.87,348,0.15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

