List File,20c-3-2.lst
Start Time,2017-06-18  10:14:35
Sampling Time,48 sec

Count,230
Particles / ml,11014

Efficiency,8.7%
PPUI,1.39

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.18,20.83,167.18,30.54,26.52
Aspect Ratio,0.76,0.46,0.97,0.12,15.70
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.32,0.92,0.10,14.68
Circularity (Hu),0.91,0.34,1.00,0.10,11.43
Compactness,1.77,1.11,7.48,0.85,47.93
Diameter (ABD),11.97,5.15,14.59,1.85,15.43
Diameter (ESD),13.79,7.19,16.73,1.73,12.55
Elongation,3.14,1.00,21.46,2.80,89.16
Geodesic Aspect Ratio,0.46,0.05,1.00,0.25,55.12
Geodesic Length,21.17,7.82,39.90,5.84,27.59
Geodesic Thickness,8.40,1.65,14.67,2.45,29.13
Image Height,39.29,26.00,49.00,4.53,11.53
Image Width,39.11,24.00,51.00,4.14,10.57
Intensity,131.11,84.22,177.71,17.77,13.55
Length,15.86,8.25,21.06,1.92,12.08
Perimeter,59.15,31.29,83.52,9.01,15.23
Roughness,1.26,1.05,1.77,0.15,11.92
Sigma Intensity,40.84,19.50,58.35,7.95,19.46
Sum Intensity,71916.85,26541.00,1.16e+005,20731.17,28.83
Transparency,0.13,0.03,0.52,0.07,51.81
Volume (ABD),956.07,71.52,1626.07,340.53,35.62
Width,11.51,5.14,15.06,2.11,18.34

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,0.87,0.14,96,0.02
8-9um,1,0.43,0.10,48,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5,2.17,0.56,239,0.08
10-15um,137,59.57,60.91,6561,8.29
15-20um,55,23.91,38.35,2634,5.22
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,0.87,0.32,96,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

