List File,24c-5-4.lst
Start Time,2017-06-18  16:14:09
Sampling Time,49 sec

Count,307
Particles / ml,14577

Efficiency,8.7%
PPUI,1.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),83.04,22.07,163.53,24.97,30.07
Aspect Ratio,0.77,0.27,0.99,0.13,16.38
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.19,0.91,0.11,15.65
Circularity (Hu),0.90,0.35,0.99,0.08,9.31
Compactness,1.84,1.04,8.34,0.78,42.36
Diameter (ABD),10.16,5.30,14.43,1.60,15.72
Diameter (ESD),11.95,7.47,17.51,1.70,14.20
Elongation,3.41,1.00,24.15,2.57,75.50
Geodesic Aspect Ratio,0.40,0.04,1.00,0.22,55.25
Geodesic Length,19.74,7.97,45.44,5.81,29.46
Geodesic Thickness,6.87,1.48,13.87,2.00,29.07
Image Height,36.24,22.00,52.00,4.22,11.64
Image Width,35.64,21.00,47.00,3.95,11.09
Intensity,138.10,97.30,184.43,17.33,12.55
Length,13.78,8.45,21.15,1.99,14.44
Perimeter,53.21,31.88,94.65,9.65,18.14
Roughness,1.26,1.05,2.06,0.16,12.34
Sigma Intensity,41.29,17.20,59.71,8.25,19.98
Sum Intensity,58112.48,22160.00,1.10e+005,17429.19,29.99
Transparency,0.15,0.05,0.45,0.06,37.30
Volume (ABD),588.71,78.01,1573.11,258.58,43.92
Width,9.89,3.59,14.80,1.98,20.01

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,4,1.30,0.34,190,0.05
8-9um,12,3.91,1.43,570,0.19
0-5um,0,0.00,0.00,0.00,0.00
5-10um,41,13.36,5.89,1947,0.79
10-15um,245,79.80,85.50,11633,11
15-20um,12,3.91,8.61,570,1.15
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,25,8.14,4.12,1187,0.55
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

