List File,32c-2-3_copy.lst
Start Time,2017-06-28  17:25:25
Sampling Time,46 sec

Count,11  of  11
Particles / ml,551

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),86.19,22.49,134.05,31.70,36.78
Aspect Ratio,0.78,0.67,0.97,0.10,12.79
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.45,0.80,0.10,15.15
Circularity (Hu),0.90,0.77,0.96,0.05,6.07
Compactness,2.10,1.27,3.51,0.66,31.61
Diameter (ABD),10.28,5.35,13.06,2.12,20.61
Diameter (ESD),12.35,6.43,14.72,2.47,20.00
Elongation,4.27,1.00,8.91,2.26,53.06
Geodesic Aspect Ratio,0.32,0.11,1.00,0.24,75.38
Geodesic Length,23.04,10.50,36.41,7.79,33.82
Geodesic Thickness,6.11,4.08,10.65,2.01,32.87
Image Height,37.00,27.00,44.00,5.39,14.55
Image Width,36.64,25.00,43.00,5.39,14.71
Intensity,146.05,97.51,181.89,29.53,20.22
Length,14.12,7.48,16.45,2.69,19.03
Perimeter,58.30,30.19,80.99,13.91,23.86
Roughness,1.36,1.16,1.69,0.18,13.41
Sigma Intensity,37.68,25.80,52.29,7.62,20.22
Sum Intensity,60885.45,28738.00,1.08e+005,19184.89,31.51
Transparency,0.17,0.09,0.25,0.05,30.09
Volume (ABD),630.84,80.23,1167.53,323.09,51.22
Width,10.28,5.49,13.27,2.29,22.30

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,9.09,1.17,50,0.01
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,9.09,1.17,50,0.01
10-15um,10,90.91,98.83,501,0.59
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

