List File,10CI_06.lst
Start Time,2017-03-01  11:44:38
Sampling Time,45 sec

Count,336
Particles / ml,17402

Efficiency,8.7%
PPUI,1.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),124.23,19.60,471.68,47.04,37.86
Aspect Ratio,0.76,0.35,0.99,0.13,17.29
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.23,0.94,0.11,15.72
Circularity (Hu),0.91,0.24,1.00,0.09,9.89
Compactness,1.79,1.00,11.21,0.81,45.58
Diameter (ABD),12.34,5.00,24.51,2.43,19.67
Diameter (ESD),14.18,5.30,31.48,2.56,18.05
Elongation,3.19,1.00,33.20,2.68,83.96
Geodesic Aspect Ratio,0.44,0.03,1.00,0.25,56.54
Geodesic Length,22.27,5.89,73.27,7.85,35.23
Geodesic Thickness,8.38,1.35,14.70,2.46,29.35
Image Height,39.56,25.00,87.00,5.99,15.14
Image Width,40.17,23.00,55.00,5.19,12.92
Intensity,130.21,84.51,208.00,19.80,15.20
Length,16.41,5.88,40.19,2.97,18.08
Perimeter,61.31,23.55,162.49,14.03,22.89
Roughness,1.24,1.05,2.08,0.16,13.24
Sigma Intensity,39.73,4.78,57.54,9.97,25.11
Sum Intensity,76158.73,17940.00,2.85e+005,30193.96,39.65
Transparency,0.13,0.03,0.56,0.06,48.23
Volume (ABD),1096.32,65.29,7706.03,653.58,59.62
Width,11.68,4.32,19.83,2.59,22.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.30,0.01,52,0.00
6-7um,2,0.60,0.05,104,0.01
7-8um,2,0.60,0.09,104,0.02
8-9um,6,1.79,0.35,311,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,17,5.06,1.00,880,0.29
10-15um,207,61.61,46.69,10721,13
15-20um,109,32.44,47.70,5645,14
20-25um,2,0.60,1.65,104,0.47
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.30,2.95,52,0.85
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6,1.79,0.51,311,0.15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

