List File,24CII_06.lst
Start Time,2017-03-01  12:04:41
Sampling Time,45 sec

Count,323
Particles / ml,16577

Efficiency,8.5%
PPUI,1.36

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),97.31,20.42,240.68,39.66,40.76
Aspect Ratio,0.76,0.28,0.98,0.13,17.05
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.04,0.90,0.13,18.38
Circularity (Hu),0.89,0.27,0.99,0.11,12.11
Compactness,1.99,1.01,13.24,1.30,65.46
Diameter (ABD),10.89,5.10,17.51,2.30,21.12
Diameter (ESD),12.76,6.24,20.14,2.53,19.82
Elongation,3.85,1.00,39.56,4.21,109.28
Geodesic Aspect Ratio,0.42,0.03,1.00,0.26,60.95
Geodesic Length,21.50,6.83,66.05,9.30,43.23
Geodesic Thickness,7.30,1.22,15.13,2.39,32.71
Image Height,37.99,24.00,52.00,5.39,14.18
Image Width,36.86,25.00,64.00,5.32,14.44
Intensity,139.91,82.66,187.19,20.66,14.77
Length,14.72,7.18,27.48,2.91,19.79
Perimeter,57.61,27.33,136.67,16.52,28.68
Roughness,1.27,1.04,2.29,0.21,16.58
Sigma Intensity,41.21,21.48,55.98,7.93,19.25
Sum Intensity,67171.89,16635.00,1.71e+005,27838.56,41.44
Transparency,0.15,0.05,0.55,0.07,49.98
Volume (ABD),766.50,69.42,2808.85,464.47,60.60
Width,10.49,4.01,17.21,2.62,24.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,1.55,0.20,257,0.04
7-8um,3,0.93,0.18,154,0.04
8-9um,11,3.41,0.93,565,0.19
0-5um,0,0.00,0.00,0.00,0.00
5-10um,44,13.62,4.20,2258,0.85
10-15um,220,68.11,58.97,11291,12
15-20um,58,17.96,35.75,2977,7.22
20-25um,1,0.31,1.09,51,0.22
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,25,7.74,2.89,1283,0.58
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

