List File,24VIII_06.lst
Start Time,2017-03-01  12:28:06
Sampling Time,45 sec

Count,381
Particles / ml,19517

Efficiency,8.5%
PPUI,1.46

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.05,19.60,358.99,51.16,48.23
Aspect Ratio,0.75,0.30,0.98,0.13,17.42
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.10,0.89,0.14,20.07
Circularity (Hu),0.88,0.19,0.99,0.13,14.26
Compactness,2.11,1.04,14.59,1.36,64.34
Diameter (ABD),11.27,5.00,21.38,2.82,25.06
Diameter (ESD),13.35,6.84,29.21,2.95,22.07
Elongation,4.25,1.00,43.82,4.39,103.30
Geodesic Aspect Ratio,0.39,0.02,1.00,0.26,65.61
Geodesic Length,22.89,7.86,126.40,10.31,45.06
Geodesic Thickness,7.38,1.79,21.45,2.99,40.54
Image Height,38.95,24.00,76.00,6.51,16.71
Image Width,37.81,20.00,65.00,5.90,15.60
Intensity,141.69,86.25,209.88,22.12,15.61
Length,15.43,7.71,35.77,3.31,21.42
Perimeter,60.54,31.42,258.57,19.00,31.37
Roughness,1.31,1.04,2.86,0.24,17.96
Sigma Intensity,40.50,4.37,63.04,9.58,23.65
Sum Intensity,72310.58,20182.00,2.44e+005,34157.76,47.24
Transparency,0.16,0.04,0.55,0.09,57.03
Volume (ABD),891.41,65.29,5116.77,651.07,73.04
Width,10.95,2.78,22.16,2.93,26.78

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.26,0.03,51,0.01
7-8um,8,2.10,0.33,410,0.09
8-9um,19,4.99,1.16,973,0.33
0-5um,0,0.00,0.00,0.00,0.00
5-10um,49,12.86,3.28,2510,0.92
10-15um,237,62.20,49.17,12141,14
15-20um,89,23.36,39.01,4559,11
20-25um,3,0.79,3.47,154,0.97
25-30um,2,0.52,4.74,102,1.33
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,21,5.51,1.76,1076,0.50
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

