List File,30VI_06.lst
Start Time,2017-03-01  12:40:53
Sampling Time,45 sec

Count,124
Particles / ml,6352

Efficiency,8.6%
PPUI,1.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),108.35,19.60,461.15,90.56,83.58
Aspect Ratio,0.74,0.34,0.99,0.15,20.35
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.58,0.12,0.92,0.16,28.02
Circularity (Hu),0.81,0.28,0.99,0.16,19.64
Compactness,2.95,1.02,13.06,1.76,59.73
Diameter (ABD),10.84,5.00,24.23,4.54,41.87
Diameter (ESD),13.75,5.36,28.24,5.18,37.67
Elongation,7.02,1.00,39.00,5.65,80.56
Geodesic Aspect Ratio,0.26,0.03,1.00,0.24,91.56
Geodesic Length,29.37,5.94,86.20,14.66,49.90
Geodesic Thickness,5.66,1.09,19.94,3.11,54.97
Image Height,38.10,21.00,70.00,9.69,25.44
Image Width,39.91,22.00,78.00,10.58,26.50
Intensity,163.25,108.83,191.54,17.66,10.82
Length,16.02,6.22,35.49,5.93,36.99
Perimeter,70.06,23.74,179.60,29.39,41.95
Roughness,1.55,1.05,2.52,0.30,19.66
Sigma Intensity,35.02,9.03,53.50,9.01,25.72
Sum Intensity,82802.03,20370.00,2.81e+005,58165.17,70.25
Transparency,0.22,0.06,0.53,0.10,44.51
Volume (ABD),1048.68,65.29,7449.43,1327.83,126.62
Width,11.09,3.59,26.74,4.69,42.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.81,0.03,51,0.00
6-7um,2,1.61,0.11,102,0.01
7-8um,9,7.26,0.79,461,0.10
8-9um,11,8.87,1.39,563,0.18
0-5um,0,0.00,0.00,0.00,0.00
5-10um,34,27.42,4.25,1742,0.54
10-15um,47,37.90,19.69,2407,2.50
15-20um,27,21.77,29.47,1383,3.74
20-25um,11,8.87,25.39,563,3.22
25-30um,5,4.03,21.21,256,2.69
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,10,8.06,1.83,512,0.23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

