List File,inoc_4.lst
Start Time,2017-03-10  14:39:59
Sampling Time,38 sec

Count,1386
Particles / ml,85157

Efficiency,8.6%
PPUI,3.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),104.68,19.60,422.73,39.12,37.37
Aspect Ratio,0.74,0.20,1.00,0.12,15.91
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.00,0.93,0.11,15.86
Circularity (Hu),0.91,0.16,1.00,0.09,9.56
Compactness,1.68,1.03,11.56,0.87,51.75
Diameter (ABD),11.36,5.00,23.20,2.06,18.15
Diameter (ESD),12.97,6.02,35.21,2.45,18.87
Elongation,2.78,1.00,34.28,2.86,103.03
Geodesic Aspect Ratio,0.56,0.03,1.00,0.31,55.03
Geodesic Length,19.15,6.72,131.70,9.37,48.92
Geodesic Thickness,8.64,1.50,16.89,2.48,28.71
Image Height,37.84,24.00,83.00,5.54,14.64
Image Width,37.55,23.00,92.00,5.37,14.30
Intensity,125.04,78.38,211.54,20.13,16.10
Length,15.08,6.48,44.02,2.89,19.15
Perimeter,55.58,26.87,271.08,16.36,29.43
Roughness,1.20,1.03,2.61,0.18,15.03
Sigma Intensity,35.86,3.88,59.99,9.95,27.75
Sum Intensity,63245.47,21069.00,2.77e+005,24625.40,38.94
Transparency,0.12,0.03,0.64,0.06,51.55
Volume (ABD),845.38,65.29,6538.19,524.32,62.02
Width,10.49,3.11,27.24,2.46,23.47

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,9,0.65,0.07,553,0.08
7-8um,11,0.79,0.14,676,0.15
8-9um,21,1.52,0.39,1290,0.42
0-5um,0,0.00,0.00,0.00,0.00
5-10um,96,6.93,2.01,5898,2.18
10-15um,1102,79.51,67.62,67708,73
15-20um,161,11.62,21.39,9892,23
20-25um,15,1.08,4.49,922,4.88
25-30um,3,0.22,1.77,184,1.92
30-35um,1,0.07,1.09,61,1.19
35-40um,1,0.07,1.29,61,1.40
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,55,3.97,1.41,3379,1.53
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

