List File,15-2-2-b.lst
Start Time,2017-03-13  18:03:38
Sampling Time,34 sec

Count,110
Particles / ml,7467

Efficiency,8.7%
PPUI,1.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),135.73,19.81,332.51,50.67,37.33
Aspect Ratio,0.76,0.40,0.97,0.12,16.18
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.43,0.86,0.10,13.68
Circularity (Hu),0.92,0.54,0.99,0.07,7.98
Compactness,1.71,1.11,8.92,0.81,47.32
Diameter (ABD),12.92,5.02,20.58,2.46,19.04
Diameter (ESD),14.68,7.14,22.67,2.55,17.40
Elongation,2.93,1.00,26.00,2.67,91.22
Geodesic Aspect Ratio,0.47,0.04,1.00,0.25,52.60
Geodesic Length,22.22,9.47,46.04,7.37,33.18
Geodesic Thickness,9.05,1.77,15.87,2.49,27.54
Image Height,41.35,27.00,60.00,6.17,14.93
Image Width,40.39,23.00,56.00,4.81,11.91
Intensity,129.79,91.71,180.13,17.43,13.43
Length,16.88,9.46,25.23,2.87,17.00
Perimeter,62.55,34.15,102.01,13.12,20.97
Roughness,1.25,1.05,1.94,0.16,12.88
Sigma Intensity,39.96,14.44,54.95,9.29,23.25
Sum Intensity,82254.07,24590.00,2.26e+005,33380.11,40.58
Transparency,0.12,0.05,0.43,0.05,42.20
Volume (ABD),1249.55,66.31,4561.18,724.13,57.95
Width,12.24,3.12,19.95,2.69,21.96

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,1.82,0.22,136,0.03
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,2.73,0.42,204,0.06
10-15um,60,54.55,38.32,4073,5.17
15-20um,44,40.00,53.12,2987,7.17
20-25um,3,2.73,8.14,204,1.10
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,0.91,0.20,68,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

