List File,29-3-3.lst
Start Time,2017-03-14  13:44:16
Sampling Time,53 sec

Count,441
Particles / ml,19509

Efficiency,8.5%
PPUI,1.74

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),122.59,19.81,321.08,64.58,52.68
Aspect Ratio,0.67,0.19,0.99,0.23,33.56
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.56,0.04,0.92,0.22,39.02
Circularity (Hu),0.75,0.14,0.99,0.27,35.86
Compactness,2.69,1.08,12.68,1.91,71.27
Diameter (ABD),12.01,5.02,20.22,3.46,28.77
Diameter (ESD),15.39,7.26,28.54,3.68,23.89
Elongation,6.08,1.00,37.81,6.21,102.19
Geodesic Aspect Ratio,0.40,0.03,1.00,0.33,82.91
Geodesic Length,27.79,9.04,93.43,15.70,56.49
Geodesic Thickness,7.47,1.41,16.78,3.69,49.45
Image Height,42.35,21.00,67.00,8.21,19.38
Image Width,41.65,18.00,70.00,8.32,19.98
Intensity,160.83,104.60,222.61,31.41,19.53
Length,18.24,10.81,31.23,3.80,20.84
Perimeter,70.53,31.42,194.58,27.99,39.69
Roughness,1.32,1.05,2.42,0.29,22.34
Sigma Intensity,28.05,3.30,57.17,15.80,56.31
Sum Intensity,89140.86,30469.00,2.18e+005,41348.91,46.39
Transparency,0.21,0.04,0.62,0.17,79.26
Volume (ABD),1127.62,66.31,4328.00,840.40,74.53
Width,11.62,2.03,25.81,4.79,41.25

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,0.23,0.02,44,0.01
8-9um,4,0.91,0.14,177,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,18,4.08,0.77,796,0.34
10-15um,201,45.58,22.85,8892,10
15-20um,173,39.23,46.53,7653,20
20-25um,45,10.20,26.47,1991,12
25-30um,3,0.68,3.33,133,1.46
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,13,2.95,0.61,575,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

