List File,5v-4-4.lst
Start Time,2017-03-18  16:06:15
Sampling Time,36 sec

Count,32
Particles / ml,2043

Efficiency,8.7%
PPUI,1.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),104.68,33.69,202.91,40.01,38.22
Aspect Ratio,0.77,0.55,0.92,0.09,11.21
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.25,0.88,0.13,18.79
Circularity (Hu),0.90,0.43,0.99,0.13,14.16
Compactness,2.02,1.07,8.75,1.70,84.16
Diameter (ABD),11.34,6.55,16.07,2.19,19.29
Diameter (ESD),13.13,8.78,18.48,2.33,17.72
Elongation,3.93,1.00,25.46,5.46,138.83
Geodesic Aspect Ratio,0.48,0.04,1.00,0.29,61.08
Geodesic Length,21.25,9.74,50.91,9.64,45.35
Geodesic Thickness,7.93,1.59,12.57,2.36,29.72
Image Height,38.74,28.00,54.00,6.23,16.08
Image Width,37.16,30.00,47.00,4.40,11.83
Intensity,132.79,86.53,181.95,23.50,17.70
Length,15.12,9.81,21.83,2.80,18.48
Perimeter,58.37,38.06,106.49,16.02,27.45
Roughness,1.24,1.05,2.05,0.23,18.43
Sigma Intensity,39.06,24.65,51.37,8.00,20.48
Sum Intensity,67853.81,32009.00,1.44e+005,28387.36,41.84
Transparency,0.13,0.05,0.45,0.09,65.17
Volume (ABD),847.53,147.09,2174.36,486.83,57.44
Width,10.94,6.98,16.06,2.20,20.12

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,3.13,0.88,64,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,6.25,2.17,128,0.06
10-15um,22,68.75,57.03,1405,1.46
15-20um,7,21.88,40.80,447,1.05
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,3.13,1.29,64,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

