List File,27-1-1_copy.lst
Start Time,2017-03-20  18:02:00
Sampling Time,1 min 28 sec

Count,149  of  149
Particles / ml,4133

Efficiency,16.4%
PPUI,1.16

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),123.73,20.63,269.93,44.25,35.77
Aspect Ratio,0.71,0.45,0.94,0.12,16.84
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.43,0.92,0.10,15.35
Circularity (Hu),0.90,0.71,0.99,0.06,7.02
Compactness,1.67,1.04,3.54,0.41,24.90
Diameter (ABD),12.36,5.12,18.54,2.21,17.88
Diameter (ESD),14.16,7.01,23.22,2.60,18.40
Elongation,2.82,1.00,9.02,1.44,51.22
Geodesic Aspect Ratio,0.46,0.11,1.00,0.25,53.79
Geodesic Length,21.75,7.35,57.21,7.80,35.89
Geodesic Thickness,8.45,3.55,14.74,2.04,24.14
Image Height,39.64,23.00,56.00,6.02,15.18
Image Width,39.93,26.00,58.00,5.72,14.34
Intensity,122.01,81.49,184.66,17.57,14.40
Length,16.64,7.45,26.13,3.09,18.58
Perimeter,60.39,29.40,127.10,14.20,23.52
Roughness,1.22,1.04,1.91,0.14,11.64
Sigma Intensity,39.22,12.91,55.36,8.32,21.22
Sum Intensity,71857.93,27515.00,1.83e+005,28300.20,39.38
Transparency,0.13,0.04,0.27,0.04,31.31
Volume (ABD),1083.29,70.47,3336.13,595.92,55.01
Width,11.22,3.26,19.12,2.52,22.50

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,3,2.01,0.23,83,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5,3.36,0.61,139,0.04
10-15um,97,65.10,48.09,2690,3.26
15-20um,42,28.19,42.43,1165,2.88
20-25um,4,2.68,8.15,111,0.55
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,1.34,0.38,55,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

