List File,27v-1-1_copy.lst
Start Time,2017-03-20  18:13:09
Sampling Time,1 min 3 sec

Count,109  of  109
Particles / ml,4001

Efficiency,8.7%
PPUI,1.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),147.21,41.09,306.15,45.88,31.17
Aspect Ratio,0.72,0.42,0.93,0.12,16.59
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.36,0.90,0.10,15.79
Circularity (Hu),0.90,0.66,0.99,0.06,6.93
Compactness,1.84,1.06,5.31,0.61,33.03
Diameter (ABD),13.53,7.23,19.74,2.13,15.71
Diameter (ESD),15.58,8.44,23.51,2.58,16.54
Elongation,3.40,1.00,14.62,2.04,60.12
Geodesic Aspect Ratio,0.39,0.07,1.00,0.21,54.81
Geodesic Length,25.80,9.39,75.78,9.79,37.93
Geodesic Thickness,8.40,4.01,14.28,1.87,22.28
Image Height,43.00,29.00,62.00,6.66,15.49
Image Width,41.53,30.00,59.00,5.44,13.10
Intensity,130.32,87.22,167.12,16.85,12.93
Length,18.15,8.80,26.25,3.04,16.74
Perimeter,68.39,36.17,161.92,17.67,25.83
Roughness,1.27,1.05,2.10,0.19,14.71
Sigma Intensity,40.10,22.88,56.59,6.66,16.62
Sum Intensity,88974.26,34254.00,2.10e+005,31921.95,35.88
Transparency,0.13,0.04,0.23,0.03,26.45
Volume (ABD),1391.28,198.16,4029.54,657.58,47.26
Width,12.50,7.76,20.72,2.60,20.82

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,0.92,0.13,37,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,2.75,0.49,110,0.04
10-15um,42,38.53,23.83,1542,2.04
15-20um,56,51.38,59.05,2055,5.07
20-25um,8,7.34,16.62,294,1.43
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,1.83,0.36,73,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

