List File,20v-2-2_copy.lst
Start Time,2017-03-28  14:32:10
Sampling Time,54 sec

Count,369  of  369
Particles / ml,15804

Efficiency,8.7%
PPUI,1.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.77,50.54,251.12,31.38,24.75
Aspect Ratio,0.78,0.44,0.99,0.13,16.56
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.41,0.92,0.09,12.92
Circularity (Hu),0.92,0.68,0.99,0.05,5.63
Compactness,1.76,1.06,3.76,0.39,22.20
Diameter (ABD),12.60,8.02,17.88,1.59,12.62
Diameter (ESD),14.50,9.49,19.08,1.81,12.50
Elongation,3.15,1.00,9.72,1.37,43.53
Geodesic Aspect Ratio,0.39,0.10,1.00,0.20,51.79
Geodesic Length,23.42,9.70,47.45,6.33,27.04
Geodesic Thickness,8.07,4.45,15.39,1.82,22.53
Image Height,40.06,27.00,51.00,4.24,10.59
Image Width,40.93,30.00,52.00,4.26,10.40
Intensity,123.73,85.04,170.74,14.71,11.89
Length,16.55,10.67,21.98,1.92,11.58
Perimeter,62.99,38.78,104.68,10.76,17.09
Roughness,1.26,1.04,1.73,0.14,10.77
Sigma Intensity,42.14,21.20,59.11,7.32,17.37
Sum Intensity,74480.08,28244.00,1.82e+005,22416.97,30.10
Transparency,0.13,0.04,0.25,0.03,24.79
Volume (ABD),1098.31,270.24,2993.61,403.19,36.71
Width,12.19,6.46,16.93,2.24,18.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,0.81,0.24,128,0.06
10-15um,216,58.54,45.02,9251,12
15-20um,150,40.65,54.74,6424,14
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,0.81,0.24,128,0.06
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

