List File,5-5-4_copy.lst
Start Time,2017-03-28  14:51:08
Sampling Time,51 sec

Count,342  of  342
Particles / ml,15452

Efficiency,8.7%
PPUI,1.41

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),133.56,19.60,282.06,37.16,27.82
Aspect Ratio,0.79,0.41,0.99,0.11,14.53
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.40,0.87,0.08,11.44
Circularity (Hu),0.93,0.66,0.99,0.05,4.99
Compactness,1.63,1.10,3.94,0.36,22.29
Diameter (ABD),12.91,5.00,18.95,1.84,14.23
Diameter (ESD),14.60,5.77,20.62,2.00,13.71
Elongation,2.70,1.00,10.29,1.30,48.14
Geodesic Aspect Ratio,0.46,0.10,1.00,0.24,51.02
Geodesic Length,21.94,7.52,50.07,6.16,28.06
Geodesic Thickness,8.98,4.60,17.73,2.26,25.21
Image Height,41.11,25.00,56.00,4.79,11.65
Image Width,40.24,24.00,53.00,4.64,11.54
Intensity,126.98,87.58,170.33,16.13,12.70
Length,16.66,6.80,23.18,2.24,13.44
Perimeter,61.85,26.74,109.88,10.43,16.87
Roughness,1.24,1.05,1.76,0.12,10.03
Sigma Intensity,42.29,19.24,57.65,8.22,19.43
Sum Intensity,79559.88,18376.00,1.90e+005,25352.37,31.87
Transparency,0.12,0.04,0.25,0.03,28.49
Volume (ABD),1194.62,65.29,3563.55,499.90,41.85
Width,12.31,4.87,18.16,2.22,18.02

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.29,0.02,45,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,0.29,0.04,45,0.01
8-9um,1,0.29,0.06,45,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5,1.46,0.28,226,0.07
10-15um,195,57.02,43.25,8810,12
15-20um,139,40.64,54.20,6280,14
20-25um,3,0.88,2.27,136,0.60
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,0.58,0.17,90,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

